Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
26/01/2022,9220,9600,9020,8560,8370,10270,7760,8200,8510,8280,8510,9550,8420,8740,9500,8740,10100,9840,8440,10210,11100,8250,9660,10850,10500,9630,8570,8310,9800,9860,10410,8360,8310,8670
27/01/2022,9270,9660,9170,8730,8370,10040,7760,8200,8520,8310,8370,9470,8360,8740,9340,8740,10080,10160,8440,10210,10920,8140,9630,10850,10530,9700,8570,8300,9640,9860,10480,8360,8340,8600
28/01/2022,9220,9590,9020,8730,8470,10040,7760,8200,8430,8320,8470,9490,8520,8680,9730,8740,10220,10160,8470,10350,10920,8140,9690,11270,10530,9620,8570,8350,9800,9950,10560,8870,8220,8630
29/01/2022,9180,9620,9170,8730,8470,10040,7760,8200,8420,8290,8510,9610,8380,8680,9230,8740,10220,9930,8400,10210,11100,8240,9770,10320,10580,9670,8570,8300,9800,9790,10480,8750,8280,8610
30/01/2022,9160,9620,9040,8730,8720,9690,7700,8200,8440,8310,8470,9480,8330,8740,9650,8740,10090,9600,8470,10210,11290,8030,9640,10490,10730,9670,8570,8390,9640,9790,10480,8700,8310,8670
31/01/2022,9230,9640,8890,8730,8570,10040,7730,8200,8470,8370,8460,9480,8420,8740,9740,8740,10100,9860,8440,10210,11230,8240,9730,10810,10530,9560,8570,8230,9800,9810,10510,8720,8330,8610
01/02/2022,9160,9680,8890,8730,8570,10040,7780,8200,8410,8360,8410,9450,8420,8740,9220,8740,10240,10020,8440,10290,11120,8130,9590,10370,10580,9670,8570,8290,9800,9810,10290,8820,8310,8600
02/02/2022,9230,9660,9390,8730,8770,10040,7730,8200,8360,8330,8450,9480,8410,8790,9700,8740,10240,9620,8440,10090,11170,8120,9590,10850,10530,9730,8570,8320,9800,9810,10380,8780,8310,8630
03/02/2022,9230,9660,9040,8730,8770,9520,7730,8200,8500,8340,8490,9530,8450,8740,9360,8740,10240,10020,8440,10290,11190,8020,9710,11030,10530,9440,8570,8320,9640,9790,10450,8910,8310,8780
04/02/2022,9270,9600,9390,8730,8490,9520,7650,8200,8540,8350,8450,9570,8560,8840,9600,8740,10120,9990,8410,10260,11210,8140,9570,11070,10480,9520,8490,8350,9760,9860,10450,8810,8360,8670
05/02/2022,9270,9460,8890,8780,8720,9090,7710,8200,8580,8410,8270,9520,8490,8840,8750,8740,10100,9690,8340,10290,11190,8260,9580,10940,10340,9700,8570,8320,9630,9680,10380,8960,8250,8740
06/02/2022,9330,9490,9040,8780,8770,9520,7650,8200,8580,8390,8340,9520,8490,8840,9580,8740,10240,10230,8410,10260,11310,8560,9510,10320,10670,9820,8360,8420,9660,9810,10380,8690,8330,8770
07/02/2022,9270,9550,8890,8780,9810,9520,7710,8380,8500,8390,8450,9520,8450,8840,8750,8740,10380,10120,8410,10260,11190,8210,9630,10850,10690,9730,8570,8350,9710,9810,10380,8710,8390,8730
08/02/2022,9230,9740,9020,8780,8960,9520,7710,8300,8500,8370,8480,9520,8570,8840,9530,8740,10240,10120,8420,10260,11190,8130,9740,11070,10600,9730,8570,8350,9710,9740,10450,8770,8330,8700
09/02/2022,9230,9660,9020,8780,8770,9520,7710,8440,8500,8390,8380,9560,8570,8980,9310,8740,10380,10120,8370,10260,11190,8240,9480,11450,10600,9730,8570,8350,9730,9810,10450,8790,8330,8730
10/02/2022,9250,9490,9020,8780,8770,9520,7750,8340,8500,8400,8480,9520,8490,8980,9580,8740,10380,10120,8490,10410,11310,8240,9760,11270,10570,9520,8570,8350,9580,9860,10450,8690,8330,8740
11/02/2022,9250,9600,9170,8780,8770,9520,7750,8610,8480,8380,8470,9440,8570,8980,9690,8740,10380,10120,8450,10090,11190,8140,9660,10850,10600,9800,8570,8280,9730,9720,10450,8970,8280,8760
12/02/2022,9250,9490,9020,8780,8770,9240,7750,8610,8460,8420,8360,9490,8540,9060,8880,8650,10380,10320,8420,10290,10940,8140,9630,10370,10770,9660,8570,8240,9730,9840,10450,8850,8280,8720
13/02/2022,9300,9490,9170,8780,8770,8770,7840,8610,8420,8460,8240,9600,8570,9060,9290,8970,10280,10120,8440,10090,11470,8110,9570,10370,10800,9890,8570,8280,9580,9600,10450,8920,8320,8660
14/02/2022,9230,9490,9170,8870,8770,9240,7840,8610,8420,8500,8420,9520,8780,8980,9690,8970,10380,10060,8480,10260,11310,8240,9640,10850,10540,9880,8570,8280,9730,9810,10480,8920,8300,8790
15/02/2022,9230,9650,9020,8780,8770,9240,7840,8610,8420,8480,8540,9520,8840,9060,9690,8970,10380,10060,8480,10260,11310,8240,9940,10850,10860,9940,8650,8240,9730,10080,10450,8740,8410,8720
16/02/2022,9160,9470,9020,8780,8770,9240,7840,8610,8410,8470,8500,9560,8820,9060,9690,8970,10520,10060,8440,10400,11310,8240,9670,10850,10780,9940,8590,8210,9730,9790,10450,8940,8410,8820
17/02/2022,9300,9430,8890,8780,8770,9240,7840,8610,8520,8480,8530,9520,8840,8980,9690,8970,10440,10580,8480,10090,11290,8130,9680,10850,10780,9940,8650,8280,9580,9830,10450,8940,8320,8740
18/02/2022,9230,9420,9020,8780,8840,9240,7840,8660,8620,8500,8550,9520,8820,9060,9390,8970,10380,10060,8480,10360,11350,8240,9670,11070,10780,9870,8650,8300,9730,9890,10450,8740,8410,8750
19/02/2022,9230,9380,9020,8810,8840,9240,7840,8660,8600,8500,8560,9530,8840,9060,9900,8970,10380,10640,8480,10360,11060,8240,9500,10490,10960,9940,8590,8300,9730,9950,10450,8940,8410,8800
20/02/2022,9230,9430,9270,8780,8770,9240,7840,8710,8490,8460,8630,9570,8780,9060,9500,8970,10440,10060,8550,10290,11310,8160,9720,10320,11020,9700,8650,8310,9580,9640,10380,8830,8420,8800
21/02/2022,9160,9430,9020,8780,8770,9240,7920,8710,8580,8500,8350,9440,8970,9060,9820,8970,10380,10180,8510,10450,11350,8310,9690,9920,10780,9930,8650,8350,10000,9810,10450,8860,8320,8810
22/02/2022,9260,9550,9390,8780,8770,9240,7870,8710,8560,8450,8440,9440,8840,9060,9880,8970,10380,10000,8550,10360,11230,8240,9770,10690,10780,9940,8650,8230,9810,9790,10450,8910,8570,8720
23/02/2022,9220,9490,9170,8780,8770,9290,7870,8660,8630,8520,8510,9480,8840,9060,9880,8970,10240,10000,8590,10360,11190,8310,9770,11030,10780,9940,8650,8260,9810,9720,10450,8940,8320,8700
24/02/2022,9310,9490,9020,8780,8770,9240,7870,8710,8670,8530,8530,9490,8820,9100,10050,8970,10240,9840,8510,10360,11190,8350,9770,11180,10780,9940,8650,8260,9660,9770,10450,8950,8530,8680
25/02/2022,9250,9490,9020,8880,8770,9240,8030,8710,8660,8560,8580,9530,9010,9060,9880,8970,10380,10000,8510,10360,11190,8480,9750,10900,10830,9640,8650,8260,9900,9790,10480,8940,8560,8740
26/02/2022,9180,9550,9170,8880,8770,9240,8080,8710,8660,8510,8520,9560,8700,9060,10070,8970,10380,9840,8510,10450,11050,8350,9630,11370,10910,10010,8650,8260,9900,9710,10450,8910,8530,8790
27/02/2022,9250,9430,8890,8880,8770,9240,8110,8710,8690,8560,8530,9520,8970,9060,10120,8970,10280,10060,8510,10360,11530,8330,9830,10430,10960,10010,8650,8260,9740,9720,10480,8800,8660,8660
28/02/2022,9140,9600,8710,8780,8770,9240,8250,8710,8660,8560,8550,9490,9170,9060,9510,8970,10380,10160,8510,10360,11310,8370,9820,11020,10910,10060,8650,8260,9900,9720,10450,8980,8700,8810
01/03/2022,9210,9710,9170,8880,8770,9240,8380,8710,8610,8580,8590,9490,8780,9060,9920,8970,10380,9930,8480,10360,11190,8350,9790,11220,10750,10190,8650,8260,9810,9700,10480,8950,8700,8750
02/03/2022,9210,9710,9020,8880,8770,9240,8450,8710,8620,8530,8520,9520,8820,9060,9690,9390,10440,9770,8540,10190,11190,8460,9830,11320,10570,10110,8650,8260,10000,9770,10510,8950,8850,8820
03/03/2022,9180,10000,9040,8930,8770,9240,8860,8710,8670,8580,8580,9440,8800,9060,9510,9390,10380,9770,8540,10360,11190,8310,9840,11020,10620,10050,8650,8260,9660,9700,10450,8980,8780,8720
04/03/2022,9170,9680,9170,8880,8770,9240,9250,8710,8650,8590,8520,9490,8800,9060,9230,9390,10520,10060,8510,10360,11290,8380,9680,11360,10620,10250,8650,8410,9900,9770,10580,9040,8700,8780
05/03/2022,9140,9770,9020,8880,8770,9290,9350,8710,8660,8520,8600,9490,8780,9060,9970,9390,10380,10060,8620,10250,11310,8350,9770,11080,10620,10060,8650,8260,9900,9700,10710,8950,8760,8770
06/03/2022,9120,9740,8890,9180,8840,9240,9410,8710,8650,8510,8610,9490,8780,9060,9920,9390,10380,10060,8580,10360,11290,8370,9810,10350,10910,9910,8650,8260,9830,9750,10640,9070,8910,8750
07/03/2022,9240,9940,9390,8930,8770,9240,9440,8710,8640,8600,8610,9520,8970,9060,9470,9390,10380,10060,8540,10190,11290,8410,9670,11160,10490,9920,8650,8290,9900,9840,10670,9060,8880,8800
08/03/2022,9090,9890,9020,8880,8770,9240,9020,8710,8650,8560,8610,9570,9010,9060,9690,9390,10520,9910,8550,10190,11290,8220,9830,11260,10490,10140,8650,8290,9900,9770,10580,8980,8950,8780
09/03/2022,9070,9930,9020,8970,8770,9240,9370,8710,8670,8580,8550,9520,8960,9060,10100,9390,10380,9910,8540,10400,11290,8600,9810,11350,10490,9970,8650,8270,9900,9840,10620,8950,8950,8840
10/03/2022,9100,9830,9020,8970,8770,9240,9370,8710,8650,8560,8620,9560,8890,9060,9920,9390,10520,10250,8550,10190,11530,8520,9750,11160,10710,10310,8650,8270,9740,9840,10520,9010,8950,8880
11/03/2022,9100,9940,9020,8970,8770,9240,9460,8710,8630,8580,8660,9490,8880,9100,10000,9390,10370,10060,8620,10360,11310,8660,9750,11210,10890,9880,8650,8270,9990,9650,10580,9010,8980,8690
12/03/2022,9120,9940,9020,8970,8770,9240,9460,8710,8650,8490,8490,9600,8820,9100,9150,9390,10370,10060,8540,10360,11390,8520,9630,10940,10880,9900,8650,8270,9900,9960,10700,9010,8980,8800
13/03/2022,9120,9940,9040,8970,8770,9240,9630,8710,8540,8550,8640,9530,8990,9100,9740,9390,10520,9990,8620,10190,10940,8160,9790,10740,10790,9750,8650,8270,9820,9960,10440,8950,8980,8780
14/03/2022,9130,9890,8890,8970,8770,9240,9630,8710,8610,8620,8590,9520,9030,9100,9650,9390,10520,10060,8540,10220,11190,8600,9820,11080,10710,10290,8650,8270,9990,9960,10610,9010,9040,8840
15/03/2022,9160,9890,8870,8970,8770,9240,9630,8630,8630,8600,8640,9440,8990,9100,9650,9390,10380,9930,8500,10220,11190,8520,9580,11210,10620,10630,8650,8260,9990,9960,10600,9070,8980,8810
16/03/2022,9140,9890,9020,8970,8770,9240,9630,8630,8660,8580,8610,9560,8990,9100,9850,9390,10520,10000,8440,10590,10940,8630,9610,11310,10710,10240,8790,8260,10360,9910,10600,9150,8980,8760
17/03/2022,9200,9890,9170,8970,8770,9240,9610,8630,8630,8570,8590,9520,9030,9100,9650,9390,10520,10000,8500,10190,11190,8670,9800,11210,10680,10240,8650,8260,9960,9960,10670,9260,8980,8700
18/03/2022,9200,9940,9020,8970,8770,9240,9600,8630,8640,8600,8610,9520,9030,9030,10070,9390,10370,10080,8580,10360,11190,8560,9740,11310,10710,10280,8650,8260,9740,9980,10600,9190,9010,8850
19/03/2022,9340,10000,9170,8970,8770,9240,9490,8630,8640,8630,8400,9570,9030,9130,9950,9390,10520,10270,8470,10360,11210,8520,9760,10470,10790,9790,8650,8260,10140,9960,10630,9320,9010,8890
20/03/2022,9280,10200,9020,9070,8770,9330,9490,8670,8630,8670,8520,9520,9060,9200,9950,9510,10440,10010,8500,10190,11190,8070,9910,10630,10860,10190,8910,8260,9960,9960,10680,9320,9070,8840
21/03/2022,9150,10000,9340,9250,8720,9220,9500,8670,8720,8610,8560,9650,9090,9050,9120,9710,10660,9440,8470,10450,11470,8460,9990,10450,10860,10480,9000,8340,10230,9320,10780,9200,9240,9170
22/03/2022,9340,10000,9490,9070,8770,9330,9490,8670,8700,8630,8660,9660,9080,9050,9950,9710,10650,9860,8440,10360,11550,8410,10160,,10790,10350,8970,8260,10220,9800,10710,9300,9190,8890
23/03/2022,9370,10000,8890,9120,8770,9240,9490,8670,8700,8620,8690,9660,9070,9050,9220,9710,10520,9930,8570,10460,11550,8410,9830,11080,10790,10180,8970,8230,10220,9960,10720,9330,9190,8910
24/03/2022,9370,10000,9150,9120,8770,9330,9490,8720,8690,8690,8830,9570,9070,9090,9950,9710,10440,10620,8650,10460,11640,8380,9730,11330,10790,10330,8970,8300,10030,9960,10790,9300,9190,8920
25/03/2022,9350,10120,9150,9120,8770,9330,9550,8720,8730,8770,8760,9660,9080,9090,9950,10160,10520,10620,8600,10220,11450,8550,9660,11140,10790,10410,8970,8300,10220,9950,10780,9380,9230,9010
26/03/2022,9380,10000,9330,9120,8770,9330,9550,8720,8710,8710,8670,9640,9120,9170,9990,10160,10520,10540,8630,10510,11820,8620,9690,11140,10790,10120,8790,8330,10220,9710,10820,9430,9350,9060
27/03/2022,9380,10000,9150,9120,8770,9090,9660,8720,8680,8700,8770,9640,9060,9170,9990,10160,10370,10270,8630,10510,11610,8620,9640,10550,10890,10470,8970,8390,10410,9960,10810,9380,9260,9000
28/03/2022,9420,10000,9300,9170,8770,9420,9710,8810,8700,8700,8760,9660,9080,9170,10050,9920,10440,10620,8570,10460,11500,8690,9780,11410,11020,10580,8970,8360,10240,9960,10750,9320,9230,9010
29/03/2022,9560,10110,9390,9170,8960,9420,9710,8810,8690,8660,8770,9640,9140,9180,10050,10160,10520,10620,8610,10340,11560,8630,9820,11040,11020,10660,8970,8400,10150,9770,10820,9190,9300,9030
30/03/2022,9420,10110,9390,9170,8960,9420,9710,8810,8690,8670,8800,9640,9140,9100,10050,10160,10520,10220,8660,10460,11730,8660,9750,11350,11180,10440,8970,8540,10540,9830,10890,9320,9180,9010
31/03/2022,9530,10160,9600,9170,8960,9420,9710,8890,8670,8640,8750,9660,9190,9170,9490,9920,10540,10620,8800,10750,11560,8770,9740,11330,11060,10350,8970,8560,10380,9830,10950,9270,9230,9010
01/04/2022,9620,10160,9390,9170,8960,9740,9600,8890,8680,8730,8700,9790,9140,9240,10050,9920,10540,10560,8840,10670,11560,8750,9840,11330,11160,10500,9000,8590,10380,9800,10950,9270,9280,8970
02/04/2022,9640,10110,9270,9170,9060,9740,9600,8890,8680,8740,8720,9770,9500,9240,10170,9920,10680,10620,8930,10530,11760,8770,9750,11270,11160,10390,9160,8730,10630,9680,10950,9320,9160,9030
03/04/2022,9630,10110,9470,9170,9060,9740,9600,8890,8700,8780,8810,9790,9180,9280,9770,9920,10680,10650,8930,10670,11890,8770,9930,10930,11070,10290,9160,8580,10320,9680,10810,9300,9160,9000
04/04/2022,9660,10110,9410,9280,9060,9740,9600,8890,8800,8750,8780,9790,9180,9280,10170,10290,10680,10650,8830,10670,11890,8590,9720,11510,11130,10470,9190,8580,10450,9680,11010,9270,9160,9060
05/04/2022,9660,10050,9470,9480,9060,9590,9600,8880,8760,8730,8820,9860,9130,9350,9770,10110,10680,10650,8900,10670,11890,8590,9800,11670,11170,10510,9160,8580,10830,9680,11010,9300,9220,9060
06/04/2022,9690,10050,9330,9530,9180,9590,9600,8880,8820,8700,8690,9860,9180,9350,10170,10110,10620,10650,8970,10670,11800,8490,9930,11670,11170,10470,9160,8580,10710,9660,11070,9410,9280,9140
07/04/2022,9670,10050,9470,9480,9180,9590,9630,8880,8820,8790,8820,9860,9130,9380,10190,10110,10810,10790,8930,10750,11800,8490,9810,11910,11170,10470,9160,8610,10780,9580,11070,9470,9290,9160
08/04/2022,9670,10050,9470,9480,9460,9590,9630,8880,8850,8780,8820,9860,9180,9310,10170,10110,10810,10720,8900,10770,11680,8630,9800,11910,11170,10440,9160,8640,10650,9680,11010,9460,9280,9100
09/04/2022,9680,10060,9960,9480,9460,9900,9630,8880,8890,8820,8790,10000,9130,9350,10230,10110,10680,10800,8970,10650,11980,8520,9700,11780,11190,10430,9160,8640,10650,9680,11070,9440,9330,9140
10/04/2022,9800,10050,9860,9480,9460,9920,9630,8880,8920,8880,8830,10000,9130,9350,10230,10110,10810,10800,9010,10860,11890,8790,9720,11670,11230,10130,9160,8640,10850,9680,11070,9370,9280,9070
11/04/2022,9600,10050,9860,9550,9460,9920,9630,8880,8910,8840,8880,10080,9140,9350,10230,10110,10810,10610,9010,10770,11890,8750,9920,11910,11190,10300,9160,8640,10850,9680,11240,9490,9250,9160
12/04/2022,9680,10050,9960,9480,9460,9920,9650,9080,8940,8770,8840,10080,9220,9350,10230,10110,10810,10800,9010,10770,11890,8700,9960,11780,11190,10350,9160,8640,10850,9810,11170,9460,9250,9140
13/04/2022,9710,10050,9960,9500,9090,9540,9650,8990,8930,8830,8900,10120,9250,9350,10450,10110,10810,10800,9010,10880,11890,8880,9780,11870,11210,10480,9160,8640,10850,9920,11140,9460,9190,9140
14/04/2022,9680,10050,10160,9530,9090,9920,9660,8990,8940,8760,8750,10120,9250,9420,10310,10110,10810,10760,9010,10880,11990,8830,9780,11770,11190,10480,9160,8640,10780,9960,11270,9490,9190,9140
15/04/2022,9680,10060,10160,9320,8990,9920,9660,9080,8980,8740,8830,10120,9210,9350,10350,10110,10780,10800,9010,10880,12100,9320,9800,11770,11190,10380,9160,8640,10930,9920,11140,9640,9220,9150
16/04/2022,9710,10070,10390,9640,8990,9590,9660,9160,8990,8800,8720,10120,9210,9350,10310,10110,10810,10760,9070,10880,12100,9060,9770,11770,11190,10480,9160,8620,10850,10170,11270,9630,9220,9140
17/04/2022,9670,10210,10390,9640,8990,9590,9660,9080,8950,8790,8960,10210,9210,9350,10430,10110,10810,10940,9100,10760,11990,9060,9770,11070,11210,10450,9160,8620,10690,10170,11140,9690,9230,9150
18/04/2022,9730,10110,10190,9600,8990,9760,9660,9080,8950,8830,8740,10120,9210,9350,10430,10110,10810,11020,9040,10880,12250,9430,9810,11480,11030,10450,9160,8640,10820,10220,11230,9670,9250,9140
19/04/2022,9780,10150,10190,9640,8870,9760,9660,9080,8890,8920,8840,10210,9210,9350,10430,10110,10950,11020,9040,10880,12430,9380,9810,11630,11190,10450,9160,8660,11000,10220,11270,9510,9250,9160
20/04/2022,9820,10040,10190,9640,8900,9760,9660,9080,8930,8900,8790,10120,9250,9350,10780,10110,10810,11020,9070,10880,12210,9380,9940,11630,11190,10490,9160,8660,10910,10040,11270,9730,9220,9190
21/04/2022,9880,10170,10050,9640,8900,9950,9640,9170,8940,9010,8840,10050,9250,9350,10350,10110,10810,11020,9100,10880,12420,9380,9850,11630,11270,10280,9160,8760,10840,9990,11270,9580,9250,9180
22/04/2022,9780,10120,10080,9640,8900,9950,9660,9170,8960,9050,8850,10120,9210,9350,10350,10300,10810,11020,9100,10730,12420,9380,9990,11900,11150,10530,9160,8780,11000,10050,11140,9460,9240,9190
23/04/2022,9890,10120,9960,9640,9000,9950,9830,9170,8930,8980,8990,10120,9270,9380,10100,10300,10780,11260,9110,10880,12590,9320,9940,11670,11170,10500,9160,8800,11000,9820,11200,9720,9280,9390
24/04/2022,9890,10120,9940,9640,9190,9940,9770,9170,8960,9040,8910,10190,9250,9380,10470,10300,10810,11020,9070,10980,12380,9790,9640,11940,11170,10430,9160,8740,10840,10080,11230,9690,9270,9310
25/04/2022,9850,10000,10080,9690,9190,9950,9690,9170,9020,8960,8900,10190,9250,9370,10470,10300,10810,11020,9040,10980,12590,9330,9810,11940,11300,10610,9160,8740,11080,10070,11070,9690,9460,9340
26/04/2022,9800,10000,10320,9640,9090,9780,9690,9170,9040,8990,9000,10190,9250,9690,10530,10300,10950,11070,9070,11080,12270,9360,9910,11670,11300,10610,9160,8740,11150,10250,11360,9690,9370,9440
27/04/2022,9880,10200,10190,9640,9090,9950,9690,9310,9260,9010,8860,10220,9250,9490,10470,10300,10950,11100,9070,11080,12300,9650,9850,11490,11170,10610,9320,8810,11080,10080,11100,9690,9330,9390
28/04/2022,9840,10000,10190,9640,9190,9950,9860,9310,9100,9080,8910,10220,9250,9450,10610,10300,10950,11160,9110,11080,12220,9440,9770,11550,11170,10660,9320,8790,11180,10080,11180,9690,9370,9440
29/04/2022,9880,10000,9720,9690,9240,10110,9770,9310,9080,9030,9010,10220,9250,9450,10350,10300,10780,11080,9050,11080,12100,9490,9900,11570,11170,10610,9320,8790,11340,10150,11360,9780,9460,9470
30/04/2022,9930,10050,9770,9690,9190,9950,9770,9310,9160,9090,8910,10220,9210,9550,10350,10300,10950,11130,9110,11090,12340,9430,9720,11920,11170,10570,9320,8700,11080,10240,11330,9680,9460,9530
01/05/2022,9920,10000,9490,9690,9190,9940,9860,9310,9160,9020,8900,10300,9220,9550,10350,10300,10810,11160,9140,11080,12100,9430,10060,11140,11250,10660,9320,8680,10830,10080,11330,9780,9400,9540
02/05/2022,9840,10000,10390,10000,9190,10950,9830,9380,9200,9280,8960,10950,9620,9570,14000,10300,10930,11270,9490,10660,12220,9160,10100,11140,11250,10690,9490,8780,10710,10320,11310,9720,9290,9590
03/05/2022,9910,10000,10590,10000,9090,10390,9800,9360,9130,9160,8850,10470,9230,9550,,10300,10940,10920,10000,10980,12130,9390,9960,10320,11090,10280,9650,8760,11160,10460,11350,9810,9260,9670
