Date,USDIDR Close,Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-02-18,14348,90.21,0.19,4.377,-1.2,232.35,-0.02,6.008,0.69,18.2,-0.44,797,-0.13,35510,29580,35900,30900,32850,42580,43010,32510,33690,32440,31280,42220,45350,55600,39770,58840,46390,50990,30180,71230,58990,25620,38940,56480,61060,41070,33540,26590,33780,38490,41700,37850,36630,35940
2022-02-19,14386.9699,91.76913945,0.397918885,5.510439869,4.046643022,227.5889658,1.580668131,6.161340369,2.731200842,18.76271073,1.31993253,798.8119151,4.225193533,35820,25000,35090,31590,32530,42580,44580,32320,33560,32600,31520,42740,44860,56920,45610,58840,45700,50990,29800,71230,61850,24310,39270,47090,63620,41590,36070,27260,33510,38740,42470,37490,35900,36070
2022-02-20,14381.67383,91.62,1.56,4.579,4.62,229.8209615,2.147727429,6.152719507,3.13088649,18.76754277,1.495798142,805.9999947,6.455690342,37380,25000,34800,31160,33560,42580,44130,32400,33490,32700,30810,43040,44130,58460,42140,59790,45180,50990,28310,74010,61150,26280,38430,51290,62070,43720,36060,28080,33390,39760,43590,37210,35230,36760
2022-02-21,14365.90039,92.65,1.12,4.705,2.75,233.85,0.65,6.177,2.81,18.77231002,1.369273961,820.3533557,6.895170561,37960,30740,36380,31670,33560,43740,45220,35870,34850,33120,32000,43310,47750,58430,44040,58840,47010,53100,27650,74710,63270,27210,40990,53730,60680,45220,35060,29510,33410,41610,44810,37910,36020,37310
2022-02-22,14355,91.91,-0.8,4.461,-5.19,236.25,1.03,6.354,2.87,18.48,1.54,844.25,5.93,38280,32400,39020,31800,33650,45790,46260,34970,36160,33330,31580,43530,51790,58430,45550,62490,44840,52450,27810,74100,67690,26070,41970,55680,60410,45590,36820,30170,34160,40520,44340,39560,38030,36990
2022-02-23,14395,90.69,-1.33,4.593,2.96,237.7,0.61,6.506,2.39,18.53,0.27,876,3.76,38640,35000,42420,31700,33650,48160,47110,36250,37700,34660,31600,45830,51790,60750,44890,61310,44800,55800,27370,73200,60890,27210,41400,53780,64330,45320,37930,30820,34160,41820,44160,40020,35120,37810
2022-02-24,14365,90.94,0.28,4.641,1.05,239.5,0.76,7.087,8.93,18.32,-1.13,926,5.71,38230,35000,43540,32140,33010,47520,45980,36770,37900,35150,31740,45600,53890,60750,45590,61310,44740,52250,27080,76000,63550,26920,42920,58590,64200,44870,38680,30950,35430,44110,44850,40740,36680,38360
2022-02-25,14452.5,89.89,-1.15,4.485,-3.36,238.6,-0.38,6.718,-5.21,17.99,-1.8,843,-8.96,39180,35000,40500,33030,32320,46480,45960,37320,38810,35820,32150,46510,53890,60750,46510,61030,45900,55550,29300,76300,63400,28430,41930,60770,66890,45520,38390,31330,37460,41680,45860,41000,36690,38050
2022-02-26,14459.70623,88.39660901,-0.986162761,5.686564334,6.48419107,290.2840976,14.68430696,6.101297312,-32.56730387,18.79517445,-1.795895112,817.3653941,-26.60765566,39480,35000,42540,33140,32930,47520,45340,40000,39250,36190,32170,47830,53840,62120,47880,61030,47610,52280,29800,80660,60790,26920,42480,55940,66150,46710,38230,32290,36960,43240,47270,42830,39180,38580
2022-02-27,14374.7909,90.33414038,0.86905484,5.710901901,7.222280196,300.1958175,19.04519366,6.092777443,-26.98014566,18.79955297,-1.232634644,863.5921464,-20.24052249,40170,35000,40690,35070,32930,47520,46660,40820,39690,36500,32220,48270,55620,60570,55790,61880,46950,57680,30450,77200,57450,28480,42410,55790,64050,45260,38070,32310,37110,42760,46770,42580,40210,37750
2022-02-28,14334.2002,93.5,4.02,4.42,-1.45,274.5,15.05,7.451,10.91,18,0.06,928,10.08,40720,35000,44820,35400,34430,48470,45990,40950,39930,36610,33090,48010,53880,60190,53530,63890,47960,58900,30720,76390,49820,27280,42660,56200,61020,44970,39960,32400,37670,42630,48340,43110,39980,38910
2022-03-01,14360,100.21,7.18,4.598,4.03,313,14.03,8.163,9.56,18.34,1.89,1001.75,7.95,41250,35990,43020,37020,33820,49320,46630,40620,39290,38080,35100,48010,55440,60950,53430,69850,51650,58580,31140,78860,60900,29190,42160,59220,61630,46080,38860,31910,38380,44560,50210,45930,43770,39970
2022-03-02,14425,107.06,6.84,4.787,4.11,440,40.58,7.821,-4.19,18.64,1.64,1058.5,5.67,42330,35000,44110,37530,35820,50200,46530,41290,40120,38840,35620,47880,55410,60950,55040,69920,54810,54540,32610,81050,63140,29430,42940,60050,64350,46970,38860,32320,38430,43020,52590,46400,43960,41350
2022-03-03,14387.5,104.61,-2.29,4.736,-1.07,370,-15.91,7.45,-4.74,18.93,1.56,1289,21.78,43980,34226.21945,41140,37690,35790,49320,47070,40740,40480,38690,35210,48300,55340,62070,53210,66360,54080,55760,33150,80810,62850,30640,41600,56510,65410,48670,39740,31700,39080,42860,52800,47550,42830,43290
2022-03-04,14358.40039,112.11,7.17,5.036,6.33,418.75,13.18,6.78,-8.99,19.35,2.22,1348,4.58,46600,35000,44780,39980,39770,50110,48680,41840,41270,39470,38240,49090,55340,63200,57390,68960,55830,62140,35690,79960,62770,30180,40430,59610,66990,52000,39220,32350,40840,42970,52600,49390,44740,46530
2022-03-05,14349.0725,109.6651293,6.735816651,5.852606171,6.98412014,616.1979189,138.1092377,6.041961213,19.93921126,18.8244635,1.310464691,1409.629328,12.51916362,50250,37420,43550,39050,41110,55990,48460,43490,41360,41430,39310,50150,54140,63540,57200,66730,55160,64620,36370,86080,62820,32180,42820,54570,63780,51150,39220,33050,41010,44480,52830,51230,46050,47200
2022-03-06,14358.53531,112.1201747,6.730283698,5.875503361,3.691588565,619.3654816,134.7770361,6.033542338,24.33465251,18.82838849,0.717412413,1470.569056,11.12777254,52020,37420,42770,40550,40200,54940,50000,43540,41760,41240,39210,47760,50850,63940,54840,71080,52800,64990,35370,77650,59950,33610,38830,55770,68350,53800,39750,33230,40100,47190,53370,51630,45620,50800
2022-03-07,14381.7002,115.8,3.29,4.858,-3.53,422.65,0.93,7.225,6.56,19.27,-0.41,1425.25,5.73,55150,37420,44630,40710,44430,54850,48580,44400,42080,42870,40460,49750,50700,64250,51870,76650,54300,64740,35470,79740,60190,35880,43660,58880,66510,56490,39910,33270,40820,46800,54120,54110,47010,54400
2022-03-08,14406.40039,119.65,3.32,4.563,-6.07,423.15,0.12,7.003,-3.07,19.43,0.83,1273,-10.68,53700,37420,45680,41930,43400,52930,50210,45110,44210,43800,41770,49760,48950,64310,58240,77720,56680,61860,35620,76900,60080,34000,43790,58840,66070,57130,39920,33250,43000,49070,51470,55220,46550,54690
2022-03-09,14362.7002,105.05,-12.2,4.561,-0.04,420.65,-0.59,7.621,8.82,18.94,-2.52,1199.5,-5.77,54770,35000,46980,42840,40430,52930,49020,45740,44450,45520,42120,47240,50130,63610,54730,75910,56560,62040,36160,74470,61070,35980,45050,58840,65730,59510,39920,34230,43780,47830,51990,54180,48150,55230
2022-03-10,14251,102.99,-1.96,4.669,2.37,373.35,-11.24,7.68,0.77,19.1,0.84,1073.75,-10.48,55000,37420,47230,42740,43620,51820,49970,46950,44920,43370,40910,46770,51010,64750,54450,73910,59000,69630,36450,77210,55670,35580,44210,57990,68340,60280,40640,35200,43030,47060,54260,52440,48660,56100
2022-03-11,14275,106.3,3.21,4.766,2.08,368.65,-1.26,7.365,-4.1,19.24,0.73,1090,1.51,55530,39690,48610,42050,43430,52600,49430,49120,45950,43360,42100,45210,47960,64580,55150,75910,59210,66220,37470,76790,58780,34530,44010,58130,68790,58740,40040,34750,43240,48440,52250,52870,51040,54890
2022-03-12,14300.56061,112.0981298,1.605818047,6.008565377,3.305386431,261.6655361,-88.95877448,5.983332072,-12.37550165,18.85057786,-0.314671007,1088.401577,1.604720928,55340,37420,47490,43510,43650,53780,49140,49650,47710,42800,41550,47420,50290,64280,53200,74930,58080,66110,38830,75890,57830,35040,45800,53800,70430,58810,39730,35690,43560,48230,50400,52540,50470,54600
2022-03-13,14307.57576,110.5440179,-1.958363671,6.030022192,2.193516614,258.0496293,-89.82953386,5.975014192,-11.80463319,18.85404933,-0.429001642,1065.905917,2.957361847,55600,35000,44810,47650,43650,54640,49140,47400,45670,42150,40750,46770,50710,65250,54680,69920,59780,66550,37870,72430,59290,34870,41080,49220,69250,60470,40520,35200,42690,48770,51020,50730,50160,54450
2022-03-14,14325.5,101.18,-4.82,4.702,-1.34,361.75,-1.87,6.986,-5.15,19.13,-0.57,1090,0,55200,43990,43490,48000,41740,55820,47090,46440,46150,41740,40580,46730,47000,62410,54000,71300,62250,65370,38400,74900,62040,37170,44480,58030,69670,57510,41140,38420,42960,47960,53030,50670,51100,55070
2022-03-15,14347.5,94.79,-6.32,4.617,-1.81,346,-4.35,7.28,4.21,18.73,-2.09,1154.25,5.89,55910,39310,49490,49730,41720,55820,45630,44070,46840,41820,40370,42920,49460,64260,57390,71300,60480,61790,39580,74340,60360,38800,43100,58490,69670,58410,43660,39550,42560,47770,48510,49050,49830,53640
2022-03-16,14305.2998,93.59,-1.27,4.784,3.62,340,-1.73,6.899,-5.23,18.56,-0.91,1069.25,-7.36,53890,39690,47290,50000,40750,53980,45520,42800,46580,41640,39710,44880,49500,65570,56150,71300,61530,63760,39460,75650,60870,37870,43480,57570,69620,58060,43590,39670,42840,47720,49970,48800,50820,54050
2022-03-17,14263.5,101.65,8.61,5.021,4.95,337.25,-0.81,6.553,-5.02,18.69,0.7,1098,2.69,56520,39690,48740,49530,41420,50950,46570,45840,45690,41390,39150,45490,49900,65140,56940,71300,58070,62790,39880,73510,61910,39690,45150,59370,70750,58150,43820,40580,46010,47940,50860,48570,49890,53000
2022-03-18,14326,103.09,1.42,4.902,-2.37,336,-0.37,6.116,-6.67,18.93,1.28,1063.75,-3.12,56540,45000,45370,46470,42410,52930,45250,50010,46330,41040,40690,48260,49910,63160,55270,71300,62190,62400,39800,69940,61530,37860,44650,60590,70700,59490,44130,40800,45060,50880,51180,49080,49720,52870
