Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah),Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
08/02/2022,29960,28970,10710,11760,24290,50000,30300,148220,14390,,19020,20620,9230,87.9,-2.08%,4.218,0.48%,239.25,1.38%,"5,566.00",-1.52%,18.08,0.17%,778.75,1.30%
09/02/2022,29790,29020,10830,11890,24740,45830,30210,147980,14340,,19380,20640,9230,88.53,0.72%,3.98,-5.64%,239.25,0.00%,"5,765.00",3.58%,18.48,2.21%,785,0.80%
10/02/2022,30730,29340,10800,11860,24940,45830,29960,148130,14310,,19260,20360,9250,88.56,0.03%,3.943,-0.93%,239.1,-0.06%,"5,740.00",-0.43%,18.3,-0.97%,771.5,-1.72%
11/02/2022,30850,29400,10810,11850,25660,45830,29410,147430,14350,,19310,20290,9250,91.42,3.23%,3.935,-0.20%,245,2.47%,"5,800.00",1.05%,18.26,-0.22%,797.75,3.40%
12/02/2022,31010,29490,10870,11890,28210,45830,29670,148390,14390,,19440,20430,9250,,,,,,,,,,,,
13/02/2022,31300,29490,10800,11820,30120,52440,29720,147730,14300,,19560,20420,9300,,,,,,,,,,,,
14/02/2022,31820,29870,10820,11830,29460,52440,29440,147730,14340,,19310,20630,9230,93.5,2.28%,4.16,5.72%,240,-2.04%,"5,935.00",2.33%,18.12,-0.77%,799.25,0.19%
15/02/2022,32020,29930,10720,11780,33130,48630,29560,148220,14380,,19980,20060,9230,90.21,-3.52%,4.241,1.95%,239,-0.42%,"5,865.00",-1.18%,18.07,-0.28%,779.75,-2.44%
16/02/2022,32940,29880,10740,11800,33730,41470,29470,147880,14350,,19000,20030,9160,91.83,1.80%,4.572,7.80%,235.5,-1.46%,"5,830.00",-0.60%,18.07,0.00%,780.5,0.10%
17/02/2022,32680,30100,10800,11860,33230,46370,29630,148940,14390,,18610,19970,9300,90.04,-1.95%,4.43,-3.11%,232.4,-1.32%,"5,967.00",2.35%,18.28,1.16%,798,2.24%
18/02/2022,33320,30090,10740,11780,35510,47430,29470,146510,14400,,18480,19910,9230,90.21,0.19%,4.377,-1.20%,232.35,-0.02%,"6,008.00",0.69%,18.2,-0.44%,797,-0.13%
19/02/2022,33780,30080,10740,11800,35820,47430,28590,146950,14360,,18850,19850,9230,,,,,,,,,,,,
20/02/2022,34330,30060,10740,11780,37380,42430,29450,146450,14310,,18610,19870,9230,91.62,1.56%,4.579,4.62%,,,,,,,,
21/02/2022,35010,30130,10750,11790,37960,45000,29700,146790,14440,,17470,19890,9160,92.65,1.12%,4.705,2.75%,233.85,0.65%,"6,177.00",2.81%,,,,
22/02/2022,35460,30550,10690,11740,38280,45000,29490,146520,14390,,17800,20210,9260,91.91,-0.80%,4.461,-5.19%,236.25,1.03%,"6,354.00",2.87%,18.48,1.54%,844.25,5.93%
23/02/2022,35310,30300,10800,11840,38640,42430,29660,146520,14400,,17750,19730,9220,90.69,-1.33%,4.593,2.96%,237.7,0.61%,"6,506.00",2.39%,18.53,0.27%,876,3.76%
24/02/2022,34760,30010,10770,11820,38230,40250,30210,147370,14350,,17130,20200,9310,90.94,0.28%,4.641,1.05%,239.5,0.76%,"7,087.00",8.93%,18.32,-1.13%,926,5.71%
25/02/2022,35540,30180,10730,11730,39180,40250,29780,146250,14340,,17080,20150,9250,89.89,-1.15%,4.485,-3.36%,238.6,-0.38%,"6,718.00",-5.21%,17.99,-1.80%,843,-8.96%
26/02/2022,35650,29930,10750,11730,39480,42430,29840,146760,14310,,16610,20390,9180,,,,,,,,,,,,
27/02/2022,36690,30320,10760,11740,40170,48990,29890,146450,14390,,16510,20420,9250,,,,,,,,,,,,
28/02/2022,36630,30040,10690,11710,40720,48990,30130,146860,14340,,16120,20710,9140,93.5,4.02%,4.42,-1.45%,274.5,15.05%,"7,451.00",10.91%,18,0.06%,928,10.08%
01/03/2022,36010,30130,10810,11740,41250,44720,29700,146950,14420,,15860,20430,9210,100.21,7.18%,4.598,4.03%,313,14.03%,"8,163.00",9.56%,18.34,1.89%,"1,001.75",7.95%
02/03/2022,36110,30380,10720,11720,42330,42430,29570,146950,14290,,15770,20240,9210,107.06,6.84%,4.787,4.11%,440,40.58%,"7,821.00",-4.19%,18.64,1.64%,"1,058.50",5.67%
03/03/2022,36440,30390,10720,11710,43980,48990,29480,147050,14310,,15910,20290,9180,104.61,-2.29%,4.736,-1.07%,370,-15.91%,"7,450.00",-4.74%,18.93,1.56%,"1,289.00",21.78%
04/03/2022,35680,30380,10730,11720,46600,48990,29450,146750,14340,,15910,20570,9170,112.11,7.17%,5.036,6.33%,418.75,13.18%,"6,780.00",-8.99%,19.35,2.22%,"1,348.00",4.58%
05/03/2022,36190,30170,10720,11690,50250,44720,29650,147550,14310,,15860,20180,9140,,,,,,,,,,,,
06/03/2022,36430,30170,10710,11720,52020,44720,29290,147420,14340,,15630,20340,9120,,,,,,,,,,,,
07/03/2022,36450,30320,10720,11730,55150,55000,29460,147050,14350,,15440,20900,9240,115.8,3.29%,4.858,-3.53%,422.65,0.93%,"7,225.00",6.56%,19.27,-0.41%,"1,425.25",5.73%
08/03/2022,36870,30460,10710,11700,53700,,29490,147290,14260,,15610,20640,9090,119.65,3.32%,4.563,-6.07%,423.15,0.12%,"7,003.00",-3.07%,19.43,0.83%,"1,273.00",-10.68%
09/03/2022,37190,30640,10800,11720,54770,,29170,146790,14360,,15580,20580,9070,105.05,-12.20%,4.561,-0.04%,420.65,-0.59%,"7,621.00",8.82%,18.94,-2.52%,"1,199.50",-5.77%
10/03/2022,36670,30660,10820,11760,55000,,29330,146700,14380,,15430,21030,9100,102.99,-1.96%,4.669,2.37%,373.35,-11.24%,"7,680.00",0.77%,19.1,0.84%,"1,073.75",-10.48%
11/03/2022,37200,30400,10790,11770,55530,,29390,146500,14430,,15380,20790,9100,106.3,3.21%,4.766,2.08%,368.65,-1.26%,"7,365.00",-4.10%,19.24,0.73%,"1,090.00",1.51%
12/03/2022,36760,30450,10840,11770,55340,,29660,147050,14450,,15350,20910,9120,,,,,,,,,,,,
13/03/2022,36970,29830,10800,11720,55600,,29470,146790,14400,,15350,20750,9120,,,,,,,,,,,,
14/03/2022,36650,30410,10810,11740,55200,,29380,147420,14510,,15480,21280,9130,101.18,-4.82%,4.702,-1.34%,361.75,-1.87%,"6,986.00",-5.15%,19.13,-0.57%,"1,090.00",0.00%
15/03/2022,36230,30160,10810,11740,55910,,29130,147970,14560,,15330,21930,9160,94.79,-6.32%,4.617,-1.81%,346,-4.35%,"7,280.00",4.21%,18.73,-2.09%,"1,154.25",5.89%
16/03/2022,36400,30450,10750,11670,53890,,29030,148310,14590,,15040,21760,9140,93.59,-1.27%,4.784,3.62%,340,-1.73%,"6,899.00",-5.23%,18.56,-0.91%,"1,069.25",-7.36%
17/03/2022,36010,30010,10810,11740,56520,,29220,147970,14690,,15780,21640,9200,101.65,8.61%,5.021,4.95%,337.25,-0.81%,"6,553.00",-5.02%,18.69,0.70%,"1,098.00",2.69%
18/03/2022,36060,30010,10810,11740,56540,,29280,147520,14730,,15860,21450,9200,103.09,1.42%,4.902,-2.37%,336,-0.37%,"6,116.00",-6.67%,18.93,1.28%,"1,063.75",-3.12%
19/03/2022,36050,30140,10830,11750,56160,,29900,148130,14720,,16330,21670,9340,,,,,,,,,,,,
20/03/2022,35620,30520,10790,11740,54930,,29480,148190,14690,,16630,21660,9280,,,,,,,,,,,,
21/03/2022,33300,29360,10570,11570,54380,,28680,149240,14610,,16780,21810,9150,109.97,6.67%,4.934,0.65%,329.4,-1.96%,"6,250.00",2.19%,19.28,1.85%,"1,119.25",5.22%
22/03/2022,34560,30560,10860,11770,54350,,30250,147610,14710,,17110,21260,9340,109.27,-0.64%,5.227,5.94%,328.9,-0.15%,"6,471.00",3.54%,19.15,-0.67%,"1,118.25",-0.09%
23/03/2022,34720,30600,10790,11720,55630,,29240,147710,14740,,17400,21330,9370,111.99,2.49%,5.274,0.90%,325.35,-1.08%,"6,704.00",3.60%,19.24,0.47%,"1,105.75",-1.12%
24/03/2022,35470,30380,10780,11670,55510,,29150,147710,14740,,17300,21240,9370,109.43,-2.29%,5.446,3.26%,326.65,0.40%,"6,514.00",-2.83%,19.26,0.10%,"1,085.75",-1.81%
25/03/2022,35480,30420,10700,11660,54000,,28780,147120,14780,,17380,21340,9350,111.06,1.49%,5.611,3.03%,327.15,0.15%,"6,616.00",1.57%,19.61,1.82%,"1,102.25",1.52%
26/03/2022,35380,31080,10690,11620,52360,,28870,148190,14810,,16900,21260,9380,,,,,,,,,,,,
27/03/2022,35070,31090,10730,11690,50960,,28930,148190,14860,,17370,21300,9380,,,,,,,,,,,,
28/03/2022,34980,31330,10730,11710,49380,,29020,148520,14890,,17430,21340,9420,103.42,-6.88%,5.538,-1.30%,259.75,-20.60%,"6,579.00",-0.56%,19.59,-0.10%,"1,057.00",-4.11%
29/03/2022,35060,31540,10760,11690,49850,,29180,149480,14890,,17500,21270,9560,102.05,-1.32%,5.33,-3.76%,253.4,-2.44%,"6,631.00",0.79%,19.11,-2.45%,"1,014.25",-4.04%
30/03/2022,35740,31130,10760,11710,51080,,29530,156550,14900,,17950,21610,9420,105.68,3.56%,5.658,6.15%,260,2.60%,"6,538.00",-1.40%,19.47,1.88%,"1,027.25",1.28%
31/03/2022,35930,31260,10730,11710,52000,,30840,166620,14920,,17510,21600,9530,98.52,-6.78%,5.701,0.76%,259,-0.38%,"6,391.00",-2.25%,19.49,0.10%,"1,006.00",-2.07%
01/04/2022,35980,31530,10730,11700,51640,,30860,166460,14920,,17900,21510,9620,97.9,-0.63%,5.795,1.65%,258.75,-0.10%,"6,363.00",-0.44%,19.37,-0.62%,984.5,-2.14%
02/04/2022,35340,31390,10780,11740,49870,24000,31290,162170,14920,,17810,21550,9640,,,,,,,,,,,,
03/04/2022,35580,31170,10710,11710,49510,,30120,152690,14900,,17620,21610,9630,,,,,,,,,,,,
04/04/2022,35100,31000,10690,11700,49840,,29410,148160,14970,,17630,21360,9660,101.84,4.02%,5.793,-0.03%,264,2.03%,"6,367.00",0.06%,19.61,1.24%,"1,010.25",2.62%
05/04/2022,34580,30230,10700,11700,49940,,29470,148440,14970,,17630,21520,9660,100.68,-1.14%,6.108,5.44%,281,6.44%,"6,581.00",3.36%,19.65,0.20%,"1,045.25",3.46%
06/04/2022,34180,30160,10700,11710,45830,,29470,148880,14890,,17610,21420,9690,95.41,-5.23%,6.107,-0.02%,286.5,1.96%,"6,664.00",1.26%,19.59,-0.31%,"1,038.25",-0.67%
07/04/2022,34310,30150,10700,11690,45980,,29690,148940,14900,,17380,21220,9670,95.51,0.10%,6.436,5.39%,281.65,-1.69%,"6,610.00",-0.81%,19.84,1.28%,"1,020.00",-1.76%
08/04/2022,33490,30360,10700,11710,44310,40000,29830,148880,14940,,19300,21300,9670,97.73,2.32%,6.356,-1.24%,291.6,3.53%,"6,681.00",1.07%,20.41,2.87%,"1,051.50",3.09%
09/04/2022,33880,30200,10690,11700,41800,,29860,148990,14940,,19760,21210,9680,,,,,,,,,,,,
10/04/2022,33430,30240,10680,11670,42140,,29860,148880,14940,,20050,21230,9800,,,,,,,,,,,,
11/04/2022,32580,30110,10800,11840,40590,,29820,148660,14880,,19940,20960,9600,93.92,-3.90%,6.723,5.77%,290.65,-0.33%,"6,765.00",1.26%,20.31,-0.49%,"1,081.25",2.83%
12/04/2022,32770,30010,10810,11800,39940,,29510,148350,14940,,20000,21290,9680,100.15,6.63%,6.763,0.59%,309.1,6.35%,"6,890.00",1.85%,20.22,-0.44%,"1,103.75",2.08%
13/04/2022,33330,30110,10710,11700,40010,,29440,148630,14890,,20590,21080,9710,103.79,3.63%,7.096,4.92%,312,0.94%,"6,833.00",-0.83%,20.1,-0.59%,"1,113.50",0.88%
14/04/2022,33190,29910,10740,11740,39390,,29500,148350,14850,,20150,20860,9680,106.38,2.50%,7.423,4.61%,309.1,-0.93%,"6,820.00",-0.19%,20.06,-0.20%,"1,096.50",-1.53%
15/04/2022,33270,29970,10750,11800,39170,,29900,148140,14940,,20290,20810,9680,,,,,,,"6,820.00",0.00%,,,"1,095.75",-0.07%
16/04/2022,34080,30300,10760,11790,38870,,29520,149510,14940,,20720,20760,9710,,,,,,,,,,,,
17/04/2022,33760,29940,10720,11680,37810,,29370,149110,14890,,20290,20650,9670,,,,,,,,,,,,
18/04/2022,34120,30030,10710,11720,38180,,29660,148350,14940,,20370,20640,9730,107.61,1.16%,7.958,7.21%,309.1,0.00%,"6,858.00",0.56%,20.26,1.00%,"1,120.50",2.26%
19/04/2022,33840,29940,10810,11760,38250,,29590,148990,14900,,20280,20570,9780,102.05,-5.17%,7.277,-8.56%,321,3.85%,,,19.74,-2.57%,"1,099.00",-1.92%
20/04/2022,33480,30240,10780,11760,38090,,29630,148510,14900,,21130,20860,9820,102.19,0.14%,7.065,-2.91%,326.35,1.67%,"6,781.00",-1.12%,19.62,-0.61%,"1,088.00",-1.00%
21/04/2022,34420,30170,10820,11750,38100,,29830,149450,14940,15840,21850,20890,9880,102.96,0.75%,7.096,0.44%,331.1,1.46%,"6,808.00",0.40%,19.87,1.27%,"1,068.00",-1.84%
22/04/2022,34340,29850,10720,11690,36810,,29730,149420,14890,15780,22000,20810,9780,101.05,-1.86%,6.663,-6.10%,327.1,-1.21%,"6,871.00",0.93%,19.24,-3.17%,"1,065.50",-0.23%
23/04/2022,35250,30160,10760,11720,37340,,29620,149690,14900,15840,22300,21000,9890,,,,,,,,,,,,
24/04/2022,34210,29680,10800,11770,36700,,29740,149690,14940,15740,22170,20780,9890,,,,,,,,,,,,
25/04/2022,33610,29760,10790,11760,35840,,29720,151590,14950,15690,22260,21370,9850,97.67,-3.34%,6.805,2.13%,328.6,0.46%,"6,972.00",1.47%,18.95,-1.51%,"1,062.00",-0.33%
26/04/2022,33790,29430,10750,11730,35490,,29500,152890,14900,15540,22260,22020,9800,100.41,2.81%,6.978,2.54%,325,-1.10%,"7,079.00",1.53%,18.99,0.21%,"1,083.25",2.00%
27/04/2022,34200,29960,10780,11750,35290,,30050,153440,14850,15570,22710,22220,9880,100.68,0.27%,7.339,5.17%,326.05,0.32%,"7,757.00",9.58%,19.02,0.16%,"1,080.00",-0.30%
28/04/2022,34510,29430,10750,11730,35200,,29540,153440,14900,15500,22480,22350,9840,103.47,2.77%,6.994,-4.70%,326.95,0.28%,"7,496.00",-3.36%,19.42,2.10%,"1,074.00",-0.56%
29/04/2022,34170,29930,10740,11730,36910,,30820,157450,14850,15540,22580,22380,9880,102.94,-0.51%,7.355,5.16%,326.6,-0.11%,"7,683.00",2.49%,19.35,-0.36%,"1,043.75",-2.82%
30/04/2022,34800,29980,10780,11740,37930,,32050,165580,14850,15540,22680,22760,9930,,,,,,,,,,,,
01/05/2022,34720,29810,10750,11750,38200,,32680,172670,14900,15510,22430,22820,9920,,,,,,,,,,,,
02/05/2022,35750,30770,10650,11650,38100,,32660,162190,14730,15580,22370,22870,9840,103.42,0.47%,7.566,2.87%,299.8,-8.21%,,,18.85,-2.58%,"1,043.50",-0.02%
03/05/2022,34710,30360,10660,11690,37640,,32550,156330,14750,15570,22610,22650,9910,100.9,-2.44%,8.025,6.07%,326.6,8.94%,,,18.62,-1.22%,"1,033.75",-0.93%
04/05/2022,34730,29990,10710,11760,38390,35000,31860,155790,14850,15590,22320,22820,9880,106.22,5.27%,8.472,5.57%,360.35,10.33%,,,18.62,0.00%,"1,066.00",3.12%
05/05/2022,35030,29890,10740,11750,38380,,32270,152440,14890,15620,22480,22660,9920,106.74,0.49%,8.841,4.36%,374.35,3.89%,"7,382.00",-3.92%,18.78,0.86%,"1,096.00",2.81%
06/05/2022,34640,29610,10730,11740,37840,,31710,151540,14850,15590,22730,22840,9920,108.33,1.49%,8.128,-8.06%,379.5,1.38%,"7,058.00",-4.39%,19.16,2.02%,"1,097.00",0.09%
07/05/2022,35010,29630,10670,11710,37320,,31520,151510,14840,15520,22670,22680,9870,,,,,,,,,,,,
08/05/2022,33190,29270,10760,11750,35740,,31130,150810,14830,15490,22500,23120,10020,,,,,,,,,,,,
09/05/2022,33810,29270,10710,11700,35270,,30580,151160,14900,15630,21900,22740,9970,101.77,-6.06%,7.106,-12.57%,377,-0.66%,"7,035.00",-0.33%,18.66,-2.61%,"1,083.25",-1.25%
10/05/2022,33370,29980,10700,11740,34540,,30730,149640,14890,15530,22560,22840,9870,98.45,-3.26%,7.467,5.08%,377.45,0.12%,"6,953.00",-1.17%,18.54,-0.64%,"1,083.25",0.00%
11/05/2022,33640,29710,10760,11760,33920,,30520,149990,14900,15670,22360,23360,9930,104.03,5.67%,7.727,3.48%,385.85,2.23%,"7,153.00",2.88%,18.55,0.05%,"1,108.75",2.35%
12/05/2022,34160,29040,10680,11720,33230,,31090,149990,14820,15430,22310,22870,9960,104.4,0.36%,7.835,1.40%,391.5,1.46%,"6,990.00",-2.28%,18.64,0.49%,"1,174.50",5.93%
13/05/2022,35310,28820,10740,11740,31920,,31430,149520,14990,15480,22310,23530,9930,108.63,4.05%,7.765,-0.89%,392.85,0.34%,"6,950.00",-0.57%,19.17,2.84%,"1,167.25",-0.62%
14/05/2022,35160,28740,10740,11740,31850,,31400,150030,14990,15480,22220,22870,9930,,,,,,,,,,,,
15/05/2022,35270,28160,10730,11730,30640,,31770,150500,14950,15500,22190,22750,9920,,,,,,,,,,,,
16/05/2022,36010,28480,10730,11730,29910,,31830,150680,14950,15470,22540,23030,9920,111.82,2.94%,8.053,3.71%,402.5,2.46%,,,19.68,2.66%,"1,247.50",6.88%
17/05/2022,36560,28350,10740,11740,29860,,31550,151160,14950,15470,22360,22930,9930,109.63,-1.96%,8.394,4.23%,413.65,2.77%,"6,664.00",-4.12%,20,1.63%,"1,277.50",2.40%
18/05/2022,37540,28370,10680,11680,29480,,32320,150550,14940,15520,22580,23500,10020,107.04,-2.36%,8.455,0.73%,412,-0.40%,"6,694.00",0.45%,19.83,-0.85%,"1,230.75",-3.66%
19/05/2022,37900,28260,10740,11740,30640,,31620,152270,14950,15470,22200,23060,9970,109.89,2.66%,8.4,-0.65%,412.1,0.02%,"6,647.00",-0.70%,19.77,-0.30%,"1,200.50",-2.46%
20/05/2022,38090,28120,10770,11790,30670,,31780,152030,14920,15360,22220,23990,10020,110.28,0.35%,8.178,-2.64%,417.25,1.25%,"6,689.00",0.63%,19.95,0.91%,"1,168.75",-2.64%
21/05/2022,38760,28000,10710,11730,30730,,31740,151300,14920,15340,22750,23940,9970,,,,,,,,,,,,
22/05/2022,39200,27670,10660,11700,31210,,31820,150250,14920,15440,22840,23670,9920,,,,,,,,,,,,
23/05/2022,40330,27670,10730,11740,34280,,31930,151750,14950,15350,22290,23870,9970,107.54,-2.48%,8.827,7.94%,416,-0.30%,"6,834.00",2.17%,19.77,-0.90%,"1,190.00",1.82%
24/05/2022,40730,27700,10720,11740,34850,,31480,151750,14910,15330,22280,24190,9940,107.2,-0.32%,8.836,0.10%,408,-1.92%,"7,054.00",3.22%,19.75,-0.10%,"1,154.75",-2.96%
25/05/2022,41200,27920,10700,11740,36050,,31340,151420,14900,15250,22210,24200,9890,107.75,0.51%,8.993,1.78%,404.65,-0.82%,"6,960.00",-1.33%,19.68,-0.35%,"1,148.25",-0.56%
26/05/2022,41340,27700,10720,11740,36040,,31350,151230,14910,15650,22100,23930,9950,111.25,3.25%,8.895,-1.09%,403,-0.41%,"7,087.00",1.82%,19.54,-0.71%,"1,143.25",-0.44%
27/05/2022,41350,27660,10710,11730,36280,,31380,150270,14910,15660,22370,24290,9950,112.23,0.88%,8.712,-2.06%,406.65,0.91%,"6,879.00",-2.93%,19.61,0.36%,"1,157.50",1.25%
28/05/2022,39140,27570,10780,11780,36900,,31020,153380,14910,15400,22020,24410,9950,,,,,,,,,,,,
