Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
20/03/2022,35620,30520,10790,11740,54930,,29480,148190,14690,,16630,21660,9280
21/03/2022,33300,29360,10570,11570,54380,,28680,149240,14610,,16780,21810,9150
22/03/2022,34560,30560,10860,11770,54350,,30250,147610,14710,,17110,21260,9340
23/03/2022,34720,30600,10790,11720,55630,,29240,147710,14740,,17400,21330,9370
24/03/2022,35470,30380,10780,11670,55510,,29150,147710,14740,,17300,21240,9370
25/03/2022,35480,30420,10700,11660,54000,,28780,147120,14780,,17380,21340,9350
26/03/2022,35380,31080,10690,11620,52360,,28870,148190,14810,,16900,21260,9380
27/03/2022,35070,31090,10730,11690,50960,,28930,148190,14860,,17370,21300,9380
28/03/2022,34980,31330,10730,11710,49380,,29020,148520,14890,,17430,21340,9420
29/03/2022,35060,31540,10760,11690,49850,,29180,149480,14890,,17500,21270,9560
30/03/2022,35740,31130,10760,11710,51080,,29530,156550,14900,,17950,21610,9420
31/03/2022,35930,31260,10730,11710,52000,,30840,166620,14920,,17510,21600,9530
01/04/2022,35980,31530,10730,11700,51640,,30860,166460,14920,,17900,21510,9620
02/04/2022,35340,31390,10780,11740,49870,24000,31290,162170,14920,,17810,21550,9640
03/04/2022,35580,31170,10710,11710,49510,,30120,152690,14900,,17620,21610,9630
04/04/2022,35100,31000,10690,11700,49840,,29410,148160,14970,,17630,21360,9660
05/04/2022,34580,30230,10700,11700,49940,,29470,148440,14970,,17630,21520,9660
06/04/2022,34180,30160,10700,11710,45830,,29470,148880,14890,,17610,21420,9690
07/04/2022,34310,30150,10700,11690,45980,,29690,148940,14900,,17380,21220,9670
08/04/2022,33490,30360,10700,11710,44310,40000,29830,148880,14940,,19300,21300,9670
09/04/2022,33880,30200,10690,11700,41800,,29860,148990,14940,,19760,21210,9680
10/04/2022,33430,30240,10680,11670,42140,,29860,148880,14940,,20050,21230,9800
11/04/2022,32580,30110,10800,11840,40590,,29820,148660,14880,,19940,20960,9600
12/04/2022,32770,30010,10810,11800,39940,,29510,148350,14940,,20000,21290,9680
13/04/2022,33330,30110,10710,11700,40010,,29440,148630,14890,,20590,21080,9710
14/04/2022,33190,29910,10740,11740,39390,,29500,148350,14850,,20150,20860,9680
15/04/2022,33270,29970,10750,11800,39170,,29900,148140,14940,,20290,20810,9680
16/04/2022,34080,30300,10760,11790,38870,,29520,149510,14940,,20720,20760,9710
17/04/2022,33760,29940,10720,11680,37810,,29370,149110,14890,,20290,20650,9670
18/04/2022,34120,30030,10710,11720,38180,,29660,148350,14940,,20370,20640,9730
19/04/2022,33840,29940,10810,11760,38250,,29590,148990,14900,,20280,20570,9780
20/04/2022,33480,30240,10780,11760,38090,,29630,148510,14900,,21130,20860,9820
21/04/2022,34420,30170,10820,11750,38100,,29830,149450,14940,15840,21850,20890,9880
22/04/2022,34340,29850,10720,11690,36810,,29730,149420,14890,15780,22000,20810,9780
23/04/2022,35250,30160,10760,11720,37340,,29620,149690,14900,15840,22300,21000,9890
24/04/2022,34210,29680,10800,11770,36700,,29740,149690,14940,15740,22170,20780,9890
25/04/2022,33610,29760,10790,11760,35840,,29720,151590,14950,15690,22260,21370,9850
26/04/2022,33790,29430,10750,11730,35490,,29500,152890,14900,15540,22260,22020,9800
27/04/2022,34200,29960,10780,11750,35290,,30050,153440,14850,15570,22710,22220,9880
28/04/2022,34510,29430,10750,11730,35200,,29540,153440,14900,15500,22480,22350,9840
29/04/2022,34170,29930,10740,11730,36910,,30820,157450,14850,15540,22580,22380,9880
30/04/2022,34800,29980,10780,11740,37930,,32050,165580,14850,15540,22680,22760,9930
01/05/2022,34720,29810,10750,11750,38200,,32680,172670,14900,15510,22430,22820,9920
02/05/2022,35750,30770,10650,11650,38100,,32660,162190,14730,15580,22370,22870,9840
03/05/2022,34710,30360,10660,11690,37640,,32550,156330,14750,15570,22610,22650,9910
04/05/2022,34730,29990,10710,11760,38390,35000,31860,155790,14850,15590,22320,22820,9880
05/05/2022,35030,29890,10740,11750,38380,,32270,152440,14890,15620,22480,22660,9920
06/05/2022,34640,29610,10730,11740,37840,,31710,151540,14850,15590,22730,22840,9920
07/05/2022,35010,29630,10670,11710,37320,,31520,151510,14840,15520,22670,22680,9870
08/05/2022,33190,29270,10760,11750,35740,,31130,150810,14830,15490,22500,23120,10020
09/05/2022,33810,29270,10710,11700,35270,,30580,151160,14900,15630,21900,22740,9970
10/05/2022,33370,29980,10700,11740,34540,,30730,149640,14890,15530,22560,22840,9870
11/05/2022,33640,29710,10760,11760,33920,,30520,149990,14900,15670,22360,23360,9930
12/05/2022,34160,29040,10680,11720,33230,,31090,149990,14820,15430,22310,22870,9960
13/05/2022,35310,28820,10740,11740,31920,,31430,149520,14990,15480,22310,23530,9930
14/05/2022,35160,28740,10740,11740,31850,,31400,150030,14990,15480,22220,22870,9930
15/05/2022,35270,28160,10730,11730,30640,,31770,150500,14950,15500,22190,22750,9920
16/05/2022,36010,28480,10730,11730,29910,,31830,150680,14950,15470,22540,23030,9920
17/05/2022,36560,28350,10740,11740,29860,,31550,151160,14950,15470,22360,22930,9930
18/05/2022,37540,28370,10680,11680,29480,,32320,150550,14940,15520,22580,23500,10020
19/05/2022,37900,28260,10740,11740,30640,,31620,152270,14950,15470,22200,23060,9970
20/05/2022,38090,28120,10770,11790,30670,,31780,152030,14920,15360,22220,23990,10020
21/05/2022,38760,28000,10710,11730,30730,,31740,151300,14920,15340,22750,23940,9970
22/05/2022,39200,27670,10660,11700,31210,,31820,150250,14920,15440,22840,23670,9920
23/05/2022,40330,27670,10730,11740,34280,,31930,151750,14950,15350,22290,23870,9970
24/05/2022,40730,27700,10720,11740,34850,,31480,151750,14910,15330,22280,24190,9940
25/05/2022,41200,27920,10700,11740,36050,,31340,151420,14900,15250,22210,24200,9890
26/05/2022,41340,27700,10720,11740,36040,,31350,151230,14910,15650,22100,23930,9950
27/05/2022,41350,27660,10710,11730,36280,,31380,150270,14910,15660,22370,24290,9950
28/05/2022,39140,27570,10780,11780,36900,,31020,153380,14910,15400,22020,24410,9950
29/05/2022,39110,27310,10710,11730,40390,,31260,150760,14910,15280,22410,24650,9950
30/05/2022,42680,27690,10740,11750,43420,,31010,151230,14910,15500,22180,24880,9950
31/05/2022,43380,27260,10710,11650,46420,,30870,151750,14950,15310,22240,24880,9990
01/06/2022,42970,27840,10780,11750,46200,,31120,151380,14900,15300,22530,25190,9990
02/06/2022,43160,27770,10820,11730,48190,,30830,151850,14950,15230,22150,25000,9950
03/06/2022,42360,27270,10740,11740,47990,,30880,151850,14910,15590,21740,24850,9950
04/06/2022,43420,27600,10720,11730,51010,45000,30990,151300,14950,15410,22500,25130,9950
05/06/2022,42630,27860,10700,11800,51050,,30930,150910,14950,15950,21980,24790,9830
06/06/2022,44520,27930,10700,11730,52760,,31090,151300,14950,15540,22580,25110,9950
07/06/2022,45500,27420,10710,11730,54730,,30940,151300,14950,15590,22580,25110,9950
08/06/2022,46670,27290,10640,11690,55330,,30960,151750,14950,15830,22370,24820,10030
09/06/2022,49930,27840,10580,11790,57850,,31600,150330,14980,15590,22470,25360,9980
10/06/2022,,,,,,,,,,,,,
11/06/2022,,,,,,,,,,,,,
12/06/2022,,,,,,,,,,,,,
13/06/2022,,,,,,,,,,,,,
14/06/2022,,,,,,,,,,,,,
15/06/2022,,,,,,,,,,,,,
16/06/2022,,,,,,,,,,,,,
17/06/2022,,,,,,,,,,,,,
18/06/2022,,,,,,,,,,,,,
19/06/2022,,,,,,,,,,,,,
20/06/2022,,,,,,,,,,,,,
21/06/2022,,,,,,,,,,,,,
22/06/2022,,,,,,,,,,,,,
23/06/2022,,,,,,,,,,,,,
24/06/2022,,,,,,,,,,,,,
25/06/2022,,,,,,,,,,,,,
26/06/2022,,,,,,,,,,,,,
27/06/2022,,,,,,,,,,,,,
28/06/2022,,,,,,,,,,,,,
29/06/2022,,,,,,,,,,,,,
30/06/2022,,,,,,,,,,,,,
01/07/2022,,,,,,,,,,,,,
02/07/2022,,,,,,,,,,,,,
03/07/2022,,,,,,,,,,,,,
04/07/2022,,,,,,,,,,,,,
05/07/2022,,,,,,,,,,,,,
06/07/2022,,,,,,,,,,,,,
07/07/2022,,,,,,,,,,,,,
08/07/2022,,,,,,,,,,,,,
09/07/2022,,,,,,,,,,,,,
10/07/2022,,,,,,,,,,,,,
11/07/2022,,,,,,,,,,,,,
12/07/2022,,,,,,,,,,,,,
13/07/2022,,,,,,,,,,,,,
14/07/2022,57580,25860,10680,11780,95520,,31280,147440,14720,13370,22170,24240,10390
15/07/2022,57280,25760,10730,11750,90600,,30430,149500,14670,13590,21980,24500,10390
16/07/2022,55800,25580,10710,11740,88060,,30280,148870,14620,13570,22240,24500,10370
17/07/2022,55630,25590,10720,11750,86220,,30030,149530,14630,13430,21960,24340,10400
18/07/2022,55860,24780,10690,11750,86820,,30090,150570,14500,13740,21720,24520,10400
19/07/2022,55650,24380,10750,11740,89680,,29920,150570,14590,13740,21720,24570,10400
20/07/2022,55480,24490,10670,11720,91310,,29740,150040,14620,13270,21560,24570,10420
21/07/2022,53890,24370,10700,11760,95090,,30060,149350,14610,13460,21230,24560,10420
22/07/2022,52740,24430,10750,11740,97450,,29630,151110,14590,13250,21180,24630,10420
23/07/2022,53190,24430,10760,11740,95310,,29850,150570,14630,13300,20740,24430,10420
24/07/2022,52360,24490,10740,11730,94990,,29850,150570,14620,13130,21260,24550,10430
25/07/2022,50890,24950,10730,11700,92110,,29690,151060,14550,13090,20880,24370,10460
26/07/2022,49400,24610,10770,11780,92960,,29550,151620,14550,13040,21040,24270,10460
27/07/2022,48280,24390,10770,11780,91740,,29710,151080,14500,12980,20930,24540,10660
28/07/2022,47180,24050,10770,11740,91080,,29290,151080,14500,13150,20170,24440,10510
29/07/2022,45930,23760,10790,11800,91280,,29590,152600,14460,12860,20460,24290,10580
30/07/2022,46420,24090,10790,11780,90590,,29530,152600,14500,12940,20910,24330,10460
31/07/2022,45740,24060,10790,11780,91660,,29480,152950,14460,12940,20910,24630,10470
01/08/2022,44190,24180,10740,11790,89320,,29530,153300,14530,12850,20870,24570,10580
02/08/2022,42350,23980,10680,11740,92330,,29070,153210,14460,12800,21280,24520,10510
03/08/2022,,,,,,,,,,,,,
04/08/2022,42150,24190,10760,11790,95810,,29090,153400,14460,12980,21000,24600,10510
05/08/2022,40620,24280,10760,11790,95160,,29030,153400,14460,12980,20960,24520,10510
06/08/2022,40460,24320,10760,11790,94320,,28980,153400,14460,12930,20960,24580,10510
07/08/2022,39390,24010,10760,11790,89690,,28530,153220,14460,12760,20880,24390,10470
08/08/2022,38090,24300,10740,11790,92440,,29100,153060,14460,12790,20960,24320,10510
09/08/2022,37360,24330,10800,11830,92520,,29010,152730,14460,12630,20890,24380,10510
10/08/2022,36850,24340,10800,11830,92000,,29050,153220,14460,12650,20850,24380,10470
11/08/2022,35990,24340,10830,11850,89680,,28670,152730,14420,12620,20850,24530,10510
12/08/2022,35870,24380,10810,11860,88560,,28640,152990,14500,12550,20930,24610,10530
13/08/2022,34870,24260,10830,11850,84170,,28770,152990,14500,12570,20840,24570,10590
14/08/2022,34210,24350,10900,11910,82300,,28930,153090,14540,12580,20840,24640,10670
15/08/2022,33430,23790,10830,11890,75640,,28760,153330,14500,12700,20750,24920,10660
16/08/2022,33720,23630,10860,11930,74400,,28900,152990,14540,12740,20800,24980,10610
17/08/2022,32760,23920,10890,11850,71550,,29110,152990,14620,12860,20680,25310,10640
18/08/2022,32560,23600,10910,11890,68410,,28970,152990,14540,12860,20420,25510,10630
19/08/2022,32720,23790,10910,11890,67900,,29010,152990,14500,13150,20370,25510,10670
20/08/2022,32430,23720,10880,11890,69510,,29110,152990,14540,12900,20370,25730,10630
21/08/2022,31260,23660,10860,11920,73940,,29320,152470,14520,12890,20580,26090,10650
22/08/2022,31970,23280,10910,11920,75180,,29260,152470,14590,13080,20360,26030,10670
23/08/2022,32250,23370,10840,11900,75320,,29350,152060,14570,13010,20430,26240,10610
24/08/2022,31210,23530,10990,12030,79600,,29570,152990,14550,13000,20280,26380,10710
25/08/2022,30910,23620,11010,12040,82140,,29700,152470,14540,13090,20280,26380,10660
26/08/2022,30560,23820,11010,12040,84300,,29980,152470,14540,13060,20460,26380,10620
27/08/2022,30870,24020,10990,12020,86300,,29760,152470,14540,13100,20050,26580,10620
28/08/2022,30260,23640,11000,12040,90690,,29750,152840,14540,13040,20280,26510,10670
29/08/2022,30680,23240,11030,12060,91180,,30000,153090,14540,13010,20230,26530,10670
30/08/2022,29950,23240,11050,12080,91690,,29740,152210,14540,13100,20190,26540,10620
31/08/2022,29260,23530,11070,12080,91260,,29950,152210,14500,13050,20430,26550,10670
01/09/2022,29000,23340,11090,12080,91200,,29520,152470,14460,13040,20470,26590,10710
02/09/2022,28950,23690,11050,12060,92630,,29520,151470,14500,13090,20120,26620,10790
03/09/2022,28890,23520,11050,12050,93470,,28700,151280,14430,12980,20460,26460,10840
04/09/2022,29190,23790,11090,12120,96650,,29510,151890,14420,13070,20480,26590,10920
05/09/2022,28800,23290,11080,12120,98450,,29020,150810,14550,13020,20370,26590,10920
06/09/2022,28970,23410,11120,12180,98790,,28920,152240,14470,13010,20360,26340,10860
07/09/2022,29370,23590,11120,12150,98980,,28970,152240,14470,13010,20360,26340,10990
08/09/2022,29450,23800,11120,12150,97560,,29080,151470,14470,13040,20550,25840,10990
09/09/2022,30010,23980,11070,12080,93320,,29150,151980,14480,13020,20560,25670,10990
10/09/2022,30170,24050,11050,12080,90490,,28680,152240,14480,12990,20560,25580,10990
11/09/2022,30380,24240,11040,12090,88810,,28870,151730,14540,12940,20450,25610,10950
12/09/2022,30370,24040,11140,12080,81870,,28950,152800,14540,12950,20230,25360,11040
13/09/2022,31520,24220,11140,12100,71560,,29000,152950,14590,12980,20610,25320,11040
14/09/2022,31300,24060,11090,12070,67980,,28840,152240,14520,13140,20350,25390,10990
15/09/2022,32350,24130,11090,12110,64040,,29020,152240,14520,13020,20380,25220,10990
16/09/2022,32690,23990,11090,12110,62770,,28920,152240,14520,13010,20040,25140,10990
17/09/2022,32810,23530,11060,12010,61490,,28730,152220,14410,12920,20100,25100,10880
18/09/2022,32810,23500,11090,12110,62050,,28910,152620,14460,13170,20120,25050,10970
19/09/2022,32880,23400,11130,12100,60390,,28950,152760,14460,12980,19960,25000,10920
20/09/2022,32930,23600,11090,12110,59700,,28840,152760,14460,13200,19830,25030,11060
21/09/2022,33220,23730,11090,12090,59610,,28800,152760,14460,12980,19830,24980,11060
22/09/2022,33540,23600,11090,12090,58100,,28890,153030,14460,12980,19790,24870,11100
23/09/2022,33450,23830,11090,12090,53020,,28790,152760,14460,12960,19840,24910,11060
24/09/2022,32980,23900,11090,12090,50970,40000,28790,152760,14460,12980,19800,24910,11100
25/09/2022,33240,24140,11120,12130,47640,40000,28670,153120,14450,12990,19800,24910,11100
26/09/2022,33260,23780,11120,12130,44220,,28890,152760,14410,12870,19840,24760,11100
27/09/2022,34030,23750,11110,12140,40810,40000,28920,152760,14460,12910,19770,24410,11100
28/09/2022,33840,23580,11110,12140,40660,,28730,152760,14460,12960,19900,24280,11120
29/09/2022,33790,23800,11130,12140,40700,,28870,152760,14460,12910,19920,24180,11220
30/09/2022,33450,23920,11130,12160,39570,,28820,152760,14460,12950,19770,23950,11220
01/10/2022,33520,23920,11170,12190,39320,,28770,152760,14460,12950,19290,23830,11440
02/10/2022,32860,24450,11170,12190,39860,,28690,151420,14460,12910,19700,23770,11260
03/10/2022,33550,23840,11170,12170,39360,,28860,152620,14460,12910,19860,23390,11380
04/10/2022,34030,23480,11200,12230,40940,,28780,152240,14410,12790,19740,22650,11260
05/10/2022,34080,23630,11200,12220,41200,,28440,152760,14410,12740,19740,22660,11260
06/10/2022,34230,23580,11200,12230,43410,,28640,152760,14420,12600,19740,22610,11260
07/10/2022,34390,23820,11220,12230,44600,,28490,153540,14420,12740,19780,22870,11260
08/10/2022,34430,23910,11150,12180,46880,,29030,152220,14410,12680,19580,22770,11200
09/10/2022,34650,23930,11220,12230,51100,,28750,153360,14420,12740,19700,22740,11260
10/10/2022,34720,23930,11230,12250,52230,,28980,153850,14420,12690,19780,22970,11250
11/10/2022,34240,23710,11230,12200,52190,,29290,153540,14420,12720,19740,23210,11250
12/10/2022,34830,24000,11230,12250,50610,,29240,153300,14420,12720,19740,23280,11290
13/10/2022,33890,24090,11190,12190,48960,,29240,153300,14420,12760,19740,23290,11250
14/10/2022,34240,24080,11240,12250,47190,,29070,153300,14370,12860,19700,23080,11250
15/10/2022,33760,23900,11220,12230,46600,,29170,151630,14370,12810,19660,23040,11280
16/10/2022,33760,23980,11220,12270,45370,,28960,153300,14390,12800,19560,22910,11240
17/10/2022,33950,23820,11190,12190,40510,,28910,153630,14380,12850,19660,23160,11280
18/10/2022,34360,23890,11240,12250,39660,,29020,153300,14330,12820,19540,23240,11310
19/10/2022,34070,23930,11240,12250,39350,,29020,152780,14370,12830,19540,23130,11270
20/10/2022,33580,23890,11250,12250,36800,,28990,152780,14330,12770,19540,23150,11170
21/10/2022,34030,23900,11240,12230,35670,,28720,153300,14330,12810,19540,23360,11280
22/10/2022,33960,23850,11250,12230,33780,,28860,152780,14330,12880,19490,23160,11300
23/10/2022,33500,23840,11240,12210,33040,38000,28700,153130,14330,12800,19490,23150,11300
24/10/2022,34660,23770,11240,12230,32230,,28690,154040,14330,12960,19530,22970,11350
25/10/2022,34050,23480,11280,12250,30970,,27570,154480,14270,13000,19490,22850,11300
26/10/2022,34360,24020,11250,12230,31820,,28770,153730,14330,13350,19530,23120,11340
27/10/2022,34060,24020,11250,12230,31390,,28730,153730,14330,13020,19530,23150,11340
28/10/2022,34200,24020,11250,12230,31480,,28670,152780,14330,13120,19670,22940,11340
29/10/2022,33650,23760,11210,12230,29960,,28670,153730,14330,13120,19710,22930,11340
30/10/2022,33020,24150,11210,12210,29180,,28600,154040,14340,13140,19770,22930,11340
31/10/2022,33070,24080,11200,12210,29390,,28470,154530,14340,13130,19750,22950,11340
01/11/2022,33330,23660,11240,12250,28090,,28160,154000,14340,13190,19910,22990,11340
02/11/2022,33280,23710,11240,12240,27970,,28520,153540,14250,13310,19710,23070,11340
03/11/2022,33470,23530,11240,12240,26720,,28520,153540,14290,13320,19540,23000,11340
04/11/2022,35230,24070,11240,12240,30710,,28540,153540,14380,13180,19600,22950,11340
05/11/2022,37020,23970,11240,12240,31810,,28650,153540,14290,13270,19490,23690,11340
06/11/2022,37460,24200,11230,12240,31900,25000,29090,153860,14290,13310,19540,23460,11340
07/11/2022,38630,24760,11240,12240,32270,,28610,154310,14290,13350,19560,24300,11340
08/11/2022,37240,24390,11240,12240,31850,,28670,154840,14290,13360,19550,24060,11320
09/11/2022,35530,24230,11240,12240,29700,,28700,154310,14290,13350,19500,23800,11320
10/11/2022,35560,24010,11280,12240,29120,,28620,154310,14290,13430,19550,24100,11370
11/11/2022,35390,23700,11220,12260,29090,40000,28820,154060,14290,13460,19510,24100,11370
12/11/2022,34600,23890,11240,12230,29440,,28780,154060,14290,13590,19490,24130,11380
13/11/2022,34300,23540,11300,12220,29810,,28780,153860,14250,13440,19490,24230,11330
14/11/2022,34510,23530,11210,12230,27830,,28660,153540,14290,13460,19470,24290,11330
15/11/2022,34460,23810,11190,12230,28630,,28700,153540,14270,13520,19250,24330,11290
16/11/2022,34130,23710,11240,12190,28370,,28690,153020,14270,13570,19180,24540,11350
17/11/2022,33920,23750,11240,12230,29150,,28760,153020,14270,13520,19600,24610,11310
18/11/2022,34180,24020,11220,12220,30300,,28770,152770,14270,13510,19720,24700,11400
19/11/2022,33440,23930,11210,12220,30310,,28690,152770,14270,13580,19600,24780,11310
20/11/2022,34020,23850,11210,12230,30600,,28700,153120,14270,13560,19270,24850,11290
21/11/2022,34330,23540,11220,12240,31700,,28960,153290,14320,13520,19640,25080,11330
