Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (cerah)
29/01/2022,27120,26290,10110,11400,31900,37090,36770,125620,13330,,15700,20980,9170
30/01/2022,26740,26430,9800,11210,32250,36830,35940,126580,13140,,16240,20400,9040
31/01/2022,28020,25990,9970,11280,30880,37330,36510,126160,13230,,16480,20730,8890
01/02/2022,28090,26730,9960,11250,30060,35890,36760,125620,13260,,16750,20700,8890
02/02/2022,28040,25920,9970,11380,29640,37080,36260,126580,13390,,17710,20640,9390
03/02/2022,29260,26190,9970,11300,30860,37320,36570,124900,13480,,17360,21300,9040
04/02/2022,28970,25920,9970,11380,30410,37820,35930,126580,13390,,17510,20730,9390
05/02/2022,31030,26560,9960,11250,30660,39270,35920,125620,13480,,16930,20760,8890
06/02/2022,29860,25800,9800,11210,30920,39020,35280,126580,13390,,17380,20560,9040
07/02/2022,31210,26900,9830,11180,33850,42500,35600,125620,13960,,17050,20540,8890
08/02/2022,31360,26730,9970,11280,35060,42040,35520,126160,13770,,16640,20270,9020
09/02/2022,32270,27120,9970,11280,35790,43070,36120,126160,13770,,15890,19970,9020
10/02/2022,34440,26560,9970,11280,35500,42750,35520,126160,13540,,15760,20110,9020
11/02/2022,33200,26360,10110,11400,34450,41010,36060,125620,13410,,15310,20130,9170
12/02/2022,33630,26560,9970,11280,35790,42100,35520,123550,13540,,16010,19860,9020
13/02/2022,34300,26100,9870,11250,35900,41200,34930,127060,13480,,16320,19840,9170
14/02/2022,33690,26770,10110,11400,35900,41870,36060,125620,13330,,16030,19700,9170
15/02/2022,34610,26830,9970,11280,36560,44000,35260,126160,13660,,16030,19560,9020
16/02/2022,35280,27360,9970,11280,36190,43980,35260,126160,13660,,16150,19800,9020
17/02/2022,33720,27610,9960,11250,35380,42710,34570,125620,13610,,15940,19920,8890
18/02/2022,34870,26750,9970,11240,35900,47300,34980,127330,13530,,15900,19940,9020
19/02/2022,33670,26520,9970,11280,35090,44790,35110,127330,13730,,16330,20060,9020
20/02/2022,31470,26370,9970,11360,34800,42660,34750,125900,13170,,15850,19900,9270
21/02/2022,33950,26390,9970,11280,36380,45820,35110,127330,13540,,15900,20180,9020
22/02/2022,33520,27290,9970,11380,39020,48800,35270,128150,13310,,16570,20490,9390
23/02/2022,33160,25760,10110,11400,42420,56780,35910,126950,13550,,16030,21130,9170
24/02/2022,35270,27370,9970,11280,43540,53310,35400,127330,13670,,15200,21240,9020
25/02/2022,33810,26060,9970,11280,40500,52420,35400,127980,13670,,15080,21110,9020
26/02/2022,35180,26010,10110,11400,42540,52370,36060,127700,13620,,15090,21130,9170
27/02/2022,34960,27590,9960,11210,40690,52790,35180,125620,13620,,15250,21350,8890
28/02/2022,35530,27030,9800,11130,44820,57470,35210,128280,13640,,15300,21410,8710
01/03/2022,35990,27080,9830,11250,43020,54870,34930,129890,13620,,15110,21710,9170
02/03/2022,35920,26440,9970,11280,44110,63460,35520,128520,13610,,14970,21930,9020
03/03/2022,34430,27450,9800,11210,41140,62190,35560,128280,13570,,15470,21830,9040
04/03/2022,35710,26930,10110,11370,44780,63250,38260,129890,13700,,15100,22280,9170
05/03/2022,35740,27130,9970,11280,43550,63970,36400,129900,13740,,15090,22120,9020
06/03/2022,34410,27890,9960,11250,42770,63150,36020,127060,13700,,15250,22140,8890
07/03/2022,34270,26620,9970,11380,44630,65990,36760,129870,13660,,15290,23810,9390
08/03/2022,34910,27490,9970,11280,45680,64810,36510,129900,13740,,15090,23670,9020
09/03/2022,34550,27490,9970,11280,46980,66310,36400,129900,13740,,14910,23980,9020
10/03/2022,35070,27260,9970,11280,47230,64860,36400,129900,13740,,14890,23850,9020
11/03/2022,32470,27730,9970,11280,48610,65220,36530,129900,13740,,14910,23870,9020
12/03/2022,32300,27780,9910,11280,47490,66030,36400,129900,13480,,14850,24110,9020
13/03/2022,30580,27790,9800,11210,44810,61020,35570,128280,13740,,15170,23900,9040
14/03/2022,31730,27820,10030,11400,43490,59130,36170,129890,13780,,14700,23770,8890
15/03/2022,32290,27580,9970,11390,49490,65120,36540,131620,13830,,14820,23910,8870
16/03/2022,31930,27510,9970,11280,47290,66020,36500,129900,13810,,15020,23740,9020
17/03/2022,32730,27950,10110,11400,48740,64150,37190,131380,13780,,17870,24060,9170
18/03/2022,31930,28330,10030,11320,45370,57390,37150,131210,13810,,20520,23800,9020
19/03/2022,31330,28690,9900,11330,44920,59260,36760,131380,13710,,21150,23920,9170
20/03/2022,31240,28600,10030,11350,46410,59160,37150,131210,13810,,20970,23930,9020
21/03/2022,32400,28720,10350,11990,43690,56090,38410,132430,13870,,21200,23860,9340
22/03/2022,30080,29050,10100,11090,44150,53830,36740,127220,13740,,21830,23680,9490
23/03/2022,31570,29360,10110,11470,44170,54460,37460,129890,13930,,22590,23780,8890
24/03/2022,30830,29690,10030,11280,42090,55800,37670,129900,13940,,22370,23680,9150
25/03/2022,30400,28920,10030,11280,40820,53710,37010,131210,13930,,22630,23680,9150
26/03/2022,30090,30180,10110,11330,40940,53390,37620,131380,13780,,22190,23780,9330
27/03/2022,30800,29060,10030,11280,41050,55700,37140,131210,13930,,22630,23680,9150
28/03/2022,30440,29740,9900,11190,41690,51760,36750,131380,13990,,22330,23990,9300
29/03/2022,31100,29470,10030,11280,42120,53320,37280,131210,13940,,22520,24180,9390
30/03/2022,31080,29730,9940,11200,40370,52570,37670,131210,13940,,22640,24550,9390
31/03/2022,31690,30240,10000,11220,41720,52950,38500,134100,13780,,22610,24770,9600
01/04/2022,31710,30060,9940,11230,42420,54130,38690,137250,13810,,22770,24610,9390
02/04/2022,31910,30650,9990,11170,41810,52860,39920,139820,13940,,22520,24810,9270
03/04/2022,31780,30650,10000,11260,44410,54260,39240,138420,13930,,22190,24780,9470
04/04/2022,31890,30060,9820,11230,45660,55020,39090,137990,14000,,22520,24550,9410
05/04/2022,32450,29730,9880,11230,46000,53650,38960,137340,14000,,22770,24490,9470
06/04/2022,32700,29670,9940,11230,41760,51680,38580,136080,13870,,22520,24740,9330
07/04/2022,32670,29660,10000,11230,43340,50700,39230,136080,14120,,22080,24430,9470
08/04/2022,32930,29990,9940,11230,44820,46660,38960,137340,14000,,22410,24170,9470
09/04/2022,33390,30140,9940,11170,46990,46880,39360,135970,14000,,22290,24240,9960
10/04/2022,32570,29790,9940,11170,42780,46000,39090,137340,14000,,22410,24370,9860
11/04/2022,34780,29750,10000,11230,42150,41110,38300,137150,14000,,22680,24240,9860
12/04/2022,34820,29000,10000,11290,35770,38950,38440,138530,14120,,22800,24110,9960
13/04/2022,33570,30060,10000,11290,34810,39440,38050,138530,14000,,22740,23740,9960
14/04/2022,32700,29860,10040,11410,33210,36060,38070,138530,14000,,22620,23990,10160
15/04/2022,31870,29510,10000,11410,32910,36000,38210,134540,14000,,22520,23860,10160
16/04/2022,31290,29620,9880,11370,32870,35960,37620,137910,13920,,22370,23660,10390
17/04/2022,32380,29970,9930,11340,32340,35980,38070,137760,14000,,22020,23800,10390
18/04/2022,32770,29300,9930,11340,32660,35120,38460,138340,14000,,21190,23550,10190
19/04/2022,32740,29550,9990,11340,31500,35750,38340,135970,14120,,22280,23370,10190
20/04/2022,32630,29160,9970,11340,32020,33800,38980,135970,13990,,22280,23430,10190
21/04/2022,32560,29770,9930,11280,32290,31450,38980,137950,14120,16860,22280,24550,10050
22/04/2022,32270,29530,9930,11340,32570,31610,38970,135970,13930,16100,21410,24810,10080
23/04/2022,32470,29090,9790,11250,32680,32730,38980,139120,13990,16690,22460,24990,9960
24/04/2022,33890,29440,10220,11570,32590,31760,39590,137800,13880,17470,22400,24680,9940
25/04/2022,33980,29420,9930,11340,35950,33530,39110,139890,14060,16860,22770,24990,10080
26/04/2022,35200,29510,9930,11340,39100,36850,40280,141030,13790,16400,22710,24930,10320
27/04/2022,36700,29160,9870,11150,40460,38420,39690,146730,14180,17030,22830,25150,10190
28/04/2022,36700,28480,9820,11220,43560,33990,40330,148630,14000,17650,23470,25840,10190
29/04/2022,39000,30800,10660,11740,46770,36750,42430,154770,13730,15880,22990,26070,9720
30/04/2022,40430,31440,10070,11230,49670,41270,41930,152690,14100,17180,23790,26670,9770
01/05/2022,43560,33100,9950,11460,60310,46060,42210,167440,13740,19070,22980,27330,9490
02/05/2022,37420,32400,11250,12250,56130,50000,42430,164920,13750,14970,22980,25990,10390
03/05/2022,41600,31580,10290,11450,51920,47180,39790,152350,13830,15530,23310,26640,10590
04/05/2022,40350,30520,10100,11150,45220,42490,40540,147810,13900,15910,23580,25560,10130
05/05/2022,37220,28980,10140,11330,41030,44090,43000,139760,13870,15880,23240,26200,10190
06/05/2022,36150,29040,10290,11450,38060,51490,38660,141530,13830,17440,23310,25650,10260
07/05/2022,37420,30120,10140,11330,38690,46190,38660,146590,13870,16110,23240,26280,10440
08/05/2022,34380,28360,9900,11050,31730,38190,38400,144570,13900,17660,23580,26570,10350
09/05/2022,39310,28860,9980,11320,33000,37450,38870,141090,13780,16730,23120,27270,9950
10/05/2022,40790,28630,9830,11390,33880,33130,40100,146480,13920,16510,23150,26810,10610
11/05/2022,38590,29330,9830,11220,38330,34600,39820,143500,13810,16500,23340,26340,10180
12/05/2022,39490,29280,9800,11220,38640,34880,39030,143500,13810,16500,23340,26220,10180
13/05/2022,41180,28980,9790,11220,37290,33860,38770,142340,13810,16370,23340,26360,10180
14/05/2022,39560,27180,9640,11330,35070,34220,39340,142440,14000,17480,22690,26480,9970
15/05/2022,41820,28540,9710,11180,33580,34270,37570,139800,13930,16330,23220,26270,10360
16/05/2022,39750,29900,10060,11570,40810,34620,37530,140920,13900,15910,22350,25560,9960
17/05/2022,40460,28560,9740,11120,35670,34580,36800,139230,13540,16910,22580,25470,10010
18/05/2022,44580,28240,9690,11150,38300,40590,37970,139680,14140,16330,22730,26560,10360
19/05/2022,43580,28830,9850,11250,40100,45110,37540,136850,13780,16480,22320,26560,9950
20/05/2022,44840,29470,9760,11190,41470,47540,37210,138430,13810,16300,22770,26860,10180
21/05/2022,44480,29210,9760,11190,42520,47740,37840,139550,13810,16170,22640,26860,10180
22/05/2022,41020,28630,9690,11170,41020,45940,35620,141130,13920,15910,22860,26650,10420
23/05/2022,45260,28650,10050,11370,44420,50700,37100,141280,13780,15790,22520,26850,10360
24/05/2022,45150,28670,9790,11190,44330,52760,36770,138430,13930,15920,22520,26740,10180
25/05/2022,46060,28670,9790,11130,45270,56180,36120,139550,13810,15990,22520,26860,10070
26/05/2022,45500,28470,9850,11190,49530,59840,35990,139550,13810,15870,22400,26860,10180
27/05/2022,45510,28070,9760,11190,55150,62450,35180,138430,13810,15490,22270,27230,10180
28/05/2022,46290,26760,9780,11350,55560,65740,36190,143260,13920,15750,22120,27500,10460
29/05/2022,44940,27490,9660,11150,52190,56610,35490,139680,13930,15420,22310,27270,10230
30/05/2022,45540,28990,9920,11440,57090,66000,36870,141280,13930,15240,22100,27560,10230
31/05/2022,45080,29530,9790,11270,56320,66600,36770,138430,14000,15710,22270,27740,10070
01/06/2022,44150,29050,9790,11180,57650,67760,37170,138430,14000,15650,22270,27740,10070
02/06/2022,44550,29470,9790,11180,56640,70780,36560,138430,14000,15650,22400,27740,10180
03/06/2022,44690,27970,9850,11250,59000,75550,38320,139720,13870,15520,22330,27730,10070
04/06/2022,45160,26630,9940,11470,61610,74610,38660,140650,13850,15200,22100,28350,10230
05/06/2022,46210,27030,9760,11250,61760,76540,38070,139910,13870,15420,22270,28120,9950
06/06/2022,48700,26900,9760,11250,69460,86110,38840,141790,13870,15180,22270,28490,9950
07/06/2022,49180,25910,9600,11140,73910,92030,38970,142050,14000,14980,22660,28710,9810
08/06/2022,48720,26900,9820,11250,72040,91080,39090,139280,14000,15040,22570,28800,9950
09/06/2022,55060,26490,9920,11540,77240,97070,39710,138420,14000,14980,22100,29060,10170
10/06/2022,,,,,,,,,,,,,
11/06/2022,,,,,,,,,,,,,
12/06/2022,,,,,,,,,,,,,
13/06/2022,,,,,,,,,,,,,
14/06/2022,,,,,,,,,,,,,
15/06/2022,,,,,,,,,,,,,
16/06/2022,,,,,,,,,,,,,
17/06/2022,,,,,,,,,,,,,
18/06/2022,,,,,,,,,,,,,
19/06/2022,,,,,,,,,,,,,
20/06/2022,,,,,,,,,,,,,
21/06/2022,,,,,,,,,,,,,
22/06/2022,,,,,,,,,,,,,
23/06/2022,,,,,,,,,,,,,
24/06/2022,,,,,,,,,,,,,
25/06/2022,,,,,,,,,,,,,
26/06/2022,,,,,,,,,,,,,
27/06/2022,,,,,,,,,,,,,
28/06/2022,,,,,,,,,,,,,
29/06/2022,,,,,,,,,,,,,
30/06/2022,,,,,,,,,,,,,
01/07/2022,,,,,,,,,,,,,
02/07/2022,,,,,,,,,,,,,
03/07/2022,,,,,,,,,,,,,
04/07/2022,,,,,,,,,,,,,
05/07/2022,,,,,,,,,,,,,
06/07/2022,,,,,,,,,,,,,
07/07/2022,,,,,,,,,,,,,
08/07/2022,,,,,,,,,,,,,
09/07/2022,,,,,,,,,,,,,
10/07/2022,,,,,,,,,,,,,
11/07/2022,,,,,,,,,,,,,
12/07/2022,,,,,,,,,,,,,
13/07/2022,,,,,,,,,,,,,
14/07/2022,68970,23130,9560,11080,111340,113710,38950,141950,14000,12560,19940,28200,10370
15/07/2022,68620,23440,9890,11270,97940,100330,39090,140000,13940,12900,20130,28000,10350
16/07/2022,66560,22560,9540,11120,92820,97730,36220,140000,13920,12210,19400,27990,10310
17/07/2022,65540,24540,9690,11280,94470,97920,37440,140000,13920,12210,19710,27830,10470
18/07/2022,60330,23370,9740,11240,89960,89920,37500,139270,13930,12530,19480,27990,10400
19/07/2022,56510,23220,9840,11270,92140,87480,37800,140000,13940,12810,19660,28000,10350
20/07/2022,53810,23850,9800,11270,86500,85120,37180,138710,13940,12830,19170,28000,10350
21/07/2022,49060,24170,9800,11270,83530,82260,37820,140000,13940,12950,19210,28000,10350
22/07/2022,46550,24170,9810,11270,83020,81310,37440,140000,13940,12830,18480,28000,10350
23/07/2022,47020,23480,9830,11460,85710,82000,37440,140000,13920,12400,17820,27990,10470
24/07/2022,50360,23650,9700,11460,84880,81320,37950,140000,13690,12550,18780,27800,10370
25/07/2022,42120,23110,9710,11240,78080,81780,37230,140000,13930,12490,18030,28270,10400
26/07/2022,45100,22620,9800,11270,79200,79100,37560,138710,13940,12710,18020,28240,10350
27/07/2022,40510,22630,9800,11270,76140,74790,37560,139370,14000,12710,17890,27930,10350
28/07/2022,39260,23560,9800,11270,74490,72730,37560,139370,13810,12710,18130,28000,10350
29/07/2022,36720,22760,9710,11240,75160,73130,36790,140000,13930,12410,17870,27780,10400
30/07/2022,38710,23560,9810,11270,74490,72140,37180,138730,13940,12710,18340,27810,10350
31/07/2022,34540,23870,9660,11280,74830,71090,36280,139150,13920,12150,18210,27830,10470
01/08/2022,35500,23560,9800,11270,72330,71050,36800,138710,13940,12760,18240,27620,10470
02/08/2022,35190,23680,9860,11270,70480,68670,36530,137400,13940,12660,18340,27370,10350
03/08/2022,34760,20650,9390,11320,73190,68290,36240,140000,13830,12060,17150,27650,10630
04/08/2022,37600,23480,9800,11270,70810,68440,36530,138710,13940,12730,17040,27620,10350
05/08/2022,35280,24170,9710,11240,71300,68430,37190,140000,13860,12510,17020,27420,10800
06/08/2022,35390,23520,9860,11140,72890,69930,36150,140000,14000,12390,18350,27400,10570
07/08/2022,36170,22610,9970,11470,72350,69740,36900,140000,13930,12560,17430,27560,10660
08/08/2022,37020,22780,9800,11270,68940,63890,36400,138710,13810,12470,17690,27110,10350
09/08/2022,35710,23370,9840,11270,68770,63020,36380,140000,13810,12610,17120,27100,10350
10/08/2022,35990,23370,9900,11220,68470,65990,36520,138710,13940,12550,17240,27610,10350
11/08/2022,35760,23280,9750,11110,70250,65530,36440,137070,13780,12490,16700,27410,10260
12/08/2022,35910,23150,9840,11220,70510,61700,35840,138080,13810,12610,16720,28370,10350
13/08/2022,35690,24290,9820,11250,69190,60940,35440,136360,13930,13230,16980,28270,10400
14/08/2022,35660,23260,9900,11220,69350,63030,35990,136810,13810,12610,16160,28240,10350
15/08/2022,35980,23710,9840,11220,69860,57410,35980,138080,13810,12610,16570,28860,10590
16/08/2022,34240,23560,9840,11220,67940,56650,36390,137430,13940,12540,16720,29220,10590
17/08/2022,34240,24120,9880,11250,66280,54770,35900,137070,13930,13220,16980,28990,10680
18/08/2022,32300,23560,9840,11220,72920,59890,36250,138080,13870,12550,16620,29860,10590
19/08/2022,33950,23700,9960,11340,74760,56020,36630,138080,13870,12480,16550,30350,10590
20/08/2022,33950,23980,9960,11340,74490,55440,36900,137450,13810,12480,16680,30230,10590
21/08/2022,33950,23980,9960,11340,73900,58560,36780,138080,13810,12480,16680,30110,10590
22/08/2022,35040,23430,10100,11540,70990,49190,37170,137810,13930,12560,16790,30700,10680
23/08/2022,33050,23980,10150,11340,65720,52380,36250,138080,13810,12550,16550,30350,10590
24/08/2022,31180,23600,10090,11280,63390,48600,36630,138080,13940,13680,16550,30730,10720
25/08/2022,32130,23780,10090,11280,61570,50160,36620,138080,13940,12550,16550,30590,10590
26/08/2022,34410,24800,10090,11280,62080,50760,36490,138080,13940,12550,16650,30470,10590
27/08/2022,33070,23750,10260,11480,63310,48080,36750,137810,13930,12560,16900,31130,10400
28/08/2022,31420,24520,9970,11180,61030,50030,36430,139270,13930,12490,16400,30540,10260
29/08/2022,30800,23900,10220,11280,64860,51950,36900,138080,13810,12550,16510,30730,10350
30/08/2022,32120,23920,10160,11280,62580,52910,36520,138080,13940,12490,16510,30730,10350
31/08/2022,32100,23750,10160,11280,63210,51720,36650,138080,13940,12490,16410,29980,10350
01/09/2022,32240,22530,10160,11280,68580,54180,35940,138080,13940,12480,16550,30230,10350
02/09/2022,31630,24390,10260,11480,69990,52100,36120,137810,13930,12480,16470,29700,10400
03/09/2022,32130,24070,10160,11280,69790,53950,36250,138080,13810,12420,16410,29860,10350
04/09/2022,32510,23490,10160,11280,74130,54600,36120,138080,13810,12420,16410,29860,10350
05/09/2022,33300,23490,10160,11280,75210,58010,35180,138080,13810,12420,16550,29220,10480
06/09/2022,33570,23620,10160,11280,77640,61410,36250,139910,13620,12420,16650,28980,10640
07/09/2022,33530,23730,10250,11280,79720,60390,37410,139280,13740,12490,16410,29090,10540
08/09/2022,33280,23360,10230,11320,81150,60360,36720,138080,13870,12490,16270,28730,10500
09/09/2022,32920,23380,9970,11180,79140,58010,35870,138280,13830,11900,15790,28650,10680
10/09/2022,34320,23140,10410,11560,80070,59410,36590,137810,14000,12560,16620,28280,10810
11/09/2022,33020,23360,10160,11350,74560,57260,35690,138080,13870,12420,16270,28490,10560
12/09/2022,33020,23590,10230,11350,72230,58270,35300,138080,13870,13020,16270,27990,10560
13/09/2022,32830,24210,10190,11350,71610,62080,35420,136810,13870,12490,16270,27740,10830
14/09/2022,32910,23480,10210,11310,72150,64620,35420,138080,13810,12350,16270,27620,10700
15/09/2022,32020,23360,10240,11350,68370,64130,34450,136810,13870,12490,16270,27620,10460
16/09/2022,31790,23480,10230,11350,67780,63390,34170,136810,13870,12550,16390,27550,10580
17/09/2022,31790,23480,10230,11350,67160,63560,34030,136810,13870,13200,16390,27370,10580
18/09/2022,31790,23480,10230,11350,67940,67380,34050,136810,13870,13020,16390,27310,10720
19/09/2022,32020,23480,10230,11350,65290,66200,34050,136810,13870,12490,16390,27240,10720
20/09/2022,31650,23150,10250,11350,66120,71890,35250,136810,13740,13090,16390,26850,10720
21/09/2022,32020,23120,10230,11350,66130,69220,35120,136810,13870,12350,16390,26730,10720
22/09/2022,32040,23360,10250,11350,63560,63940,34320,137430,13870,12350,16390,26370,10780
23/09/2022,32040,23420,10250,11350,59610,64220,34320,136810,13870,12880,16390,25730,10720
24/09/2022,31510,23210,10120,11260,59950,65530,34230,137810,13850,12860,16110,25560,10610
25/09/2022,32040,23760,10230,11350,61130,64860,34190,136810,13870,12880,16390,25740,10720
26/09/2022,30920,23070,10120,11260,57220,67660,34390,137810,13850,12260,15980,24840,10610
27/09/2022,31930,23640,10230,11350,59380,65140,34570,137430,13740,12240,15850,24730,10720
28/09/2022,32070,23870,10230,11350,61110,62150,34600,137430,13870,12880,15850,24730,11180
29/09/2022,32350,23270,10410,11560,55620,64820,34990,137070,14000,13010,16140,24130,10830
30/09/2022,32300,23360,10230,11350,56150,62810,34600,136810,13870,12350,15850,24240,11180
01/10/2022,32300,23240,10230,11350,57390,59930,34600,137430,13870,12880,15850,24340,10720
02/10/2022,32790,23140,10410,11560,59200,61570,34850,136360,14000,12400,16140,23990,11240
03/10/2022,32140,23360,10230,11290,54380,63440,34480,136810,13870,12300,15850,24360,10590
04/10/2022,32390,23640,10260,11350,54110,60240,34480,137430,13870,12490,15850,24370,10590
05/10/2022,33000,23380,10230,11350,52850,58900,34200,136810,13870,12230,16000,24240,10590
06/10/2022,33970,23760,10230,11350,53590,57780,33930,136810,13870,12230,16000,23800,10590
07/10/2022,33570,23930,10120,11260,58410,55530,34350,136360,13850,12220,16310,23710,10610
08/10/2022,33970,23200,10400,11570,58920,57960,34230,136580,14000,11860,15640,23990,10720
09/10/2022,34660,24240,10320,11490,59860,57830,35700,135760,13830,12260,16730,23490,10720
10/10/2022,33010,23640,10230,11350,59780,57690,33930,136810,13740,12230,16000,24480,10420
11/10/2022,33300,23800,10230,11350,58650,57280,34320,136810,13740,12900,16000,25370,10480
12/10/2022,33530,23700,10230,11350,60800,56770,34320,136810,13740,12380,16000,25620,10480
13/10/2022,31320,22990,10230,11350,59780,57850,34050,136810,13740,12430,16000,25740,10480
14/10/2022,33030,23440,10230,11350,55490,54180,34600,136810,13740,12490,16000,25740,10540
15/10/2022,34200,23360,10260,11480,53160,52060,34230,137070,13710,12500,16000,25850,10550
16/10/2022,33650,23440,10160,11350,53970,52990,34320,136810,13680,13090,15950,25740,10480
17/10/2022,33180,23800,10160,11350,53320,52690,34320,136810,13680,12620,15950,25860,10480
18/10/2022,32810,22420,10160,11350,48900,51430,34190,136810,13750,12620,15950,26310,10480
19/10/2022,32660,23500,10160,11350,49370,50510,34320,136810,13750,12620,15950,26300,10480
20/10/2022,32810,23500,9970,11350,47060,47950,34050,136810,13750,13460,16220,25820,10240
21/10/2022,32690,23510,10040,11230,45770,46880,34050,136810,13620,13040,16220,26300,10240
22/10/2022,33200,23270,10100,11230,48970,47740,34050,136810,13750,13040,15410,26240,10240
23/10/2022,32930,23800,10040,11230,48970,48840,34050,136810,13750,13580,16220,26180,10240
24/10/2022,32930,23900,10040,11230,45770,45200,34430,136810,13750,12850,15950,26550,10240
25/10/2022,32190,23900,10100,11230,45690,42720,34710,136810,13490,12920,15950,26420,10240
26/10/2022,32930,24160,10140,11280,45600,44140,34710,136810,13750,12980,15950,26490,10240
27/10/2022,32190,23620,10140,11280,46250,43630,34710,136810,13750,12920,15950,26240,10360
28/10/2022,33180,23620,10140,11280,45500,43440,34710,136810,13750,13590,15800,26240,10240
29/10/2022,33180,23620,10140,11280,45280,42360,34710,136810,13750,12920,15950,25390,10360
30/10/2022,32510,23560,10260,11480,43990,42570,34670,136360,13860,12910,16250,25990,10420
31/10/2022,32880,23900,10140,11280,44580,43070,35980,136810,13750,12790,15800,26110,10360
01/11/2022,34270,23700,10220,11480,39650,39790,34620,136580,13830,12910,15470,25990,10490
02/11/2022,33800,23640,10100,11280,41350,40430,34900,136810,13750,12980,15950,26110,10360
03/11/2022,32560,23640,10140,11280,40860,39320,34900,136810,13750,12980,15950,26110,10360
04/11/2022,33930,24940,10220,11480,39200,38340,34620,136580,13830,12910,15570,25990,10490
05/11/2022,32530,23080,10090,11190,37470,39560,34380,137810,13710,12980,14980,26560,10420
06/11/2022,33070,23700,10220,11480,37060,38210,34620,136580,13830,12910,14770,26150,10490
07/11/2022,31270,23360,10120,11280,33620,37340,34900,136810,13750,13110,15330,26120,10360
08/11/2022,33250,23360,10120,11280,33620,34730,34900,133980,13750,13230,15330,26120,10490
09/11/2022,33010,23360,10120,11280,34020,36630,35600,136810,13870,13700,15330,26240,10360
10/11/2022,33790,24420,10260,11480,35280,36510,35340,136360,13860,13280,15530,26280,10420
11/11/2022,32120,22740,10120,11280,33350,35600,34900,136810,13750,13110,15330,26500,10360
