Date,MYRUSD Close,SGDUSD Close,THBUSD Close,USDIDR Close,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (cerah)
20/01/2022,0.238606542,0.742170155,0.0303859,14362.7998,26880,26470,10030,11350,33610,49080,37160,126160,13410,,18400,22440,9020
21/01/2022,0.2388345,0.742451131,0.030383132,14343,25910,26250,9970,11380,33320,48800,36740,126580,13060,,18200,21650,9390
22/01/2022,,,,,27070,26430,9700,11300,33130,46510,36570,126580,12900,,17880,21490,9040
23/01/2022,,,,,27400,26230,10060,11350,32850,47500,38600,126160,13290,,18270,21240,9020
24/01/2022,0.238948628,0.743770957,0.030362835,14329.7002,27400,26610,9970,11280,32810,42760,36780,126160,13480,,18340,21360,9020
25/01/2022,0.238863006,0.743306518,0.030309459,14365,26400,25580,9970,11380,31220,38880,36570,126580,13310,,18120,21650,9390
26/01/2022,0.238777444,0.744158387,0.030301195,14330.5,27530,26490,9890,11210,32430,40110,36530,126160,13540,,16850,21230,9020
27/01/2022,0.23866348,0.741729736,0.030206919,14366.40039,27050,26080,9830,11250,31920,38800,34490,127060,13480,,17270,20990,9170
28/01/2022,0.238379017,0.739295006,0.030044466,14389.2002,27600,26120,9970,11280,32210,36880,36800,126160,13540,,16080,20540,9020
29/01/2022,,,,,27120,26290,10110,11400,31900,37090,36770,125620,13330,,15700,20980,9170
30/01/2022,,,,,26740,26430,9800,11210,32250,36830,35940,126580,13140,,16240,20400,9040
31/01/2022,0.238777444,0.73752296,0.029941915,14381.59961,28020,25990,9970,11280,30880,37330,36510,126160,13230,,16480,20730,8890
01/02/2022,0.23900573,0.739885747,0.030125925,14350,28090,26730,9960,11250,30060,35890,36760,125620,13260,,16750,20700,8890
02/02/2022,0.23900573,0.74153173,0.030139545,14322.2998,28040,25920,9970,11380,29640,37080,36260,126580,13390,,17710,20640,9390
03/02/2022,0.239177212,0.742115021,0.030197794,14363.7998,29260,26190,9970,11300,30860,37320,36570,124900,13480,,17360,21300,9040
04/02/2022,0.239120036,0.744031012,0.030236142,14377,28970,25920,9970,11380,30410,37820,35930,126580,13390,,17510,20730,9390
05/02/2022,,,,,31030,26560,9960,11250,30660,39270,35920,125620,13480,,16930,20760,8890
06/02/2022,,,,,29860,25800,9800,11210,30920,39020,35280,126580,13390,,17380,20560,9040
07/02/2022,0.239348978,0.743405998,0.030367445,14400.40039,31210,26900,9830,11180,33850,42500,35600,125620,13960,,17050,20540,8890
08/02/2022,0.23903431,0.744280219,0.030330602,14405.59961,31360,26730,9970,11280,35060,42040,35520,126160,13770,,16640,20270,9020
09/02/2022,0.239102885,0.743715644,0.030434916,14379.5,32270,27120,9970,11280,35790,43070,36120,126160,13770,,15890,19970,9020
10/02/2022,0.239062876,0.745378673,0.03057356,14334.2002,34440,26560,9970,11280,35500,42750,35520,126160,13540,,15760,20110,9020
11/02/2022,0.239120036,0.743240178,0.0305773,14328,33200,26360,10110,11400,34450,41010,36060,125620,13410,,15310,20130,9170
12/02/2022,,,,,33630,26560,9970,11280,35790,42100,35520,123550,13540,,16010,19860,9020
13/02/2022,,,,,34300,26100,9870,11250,35900,41200,34930,127060,13480,,16320,19840,9170
14/02/2022,0.238777444,0.74240154,0.030599754,14344.7002,33690,26770,10110,11400,35900,41870,36060,125620,13330,,16030,19700,9170
15/02/2022,0.238777444,0.742666125,0.030838501,14303,34610,26830,9970,11280,36560,44000,35260,126160,13660,,16030,19560,9020
16/02/2022,0.239017144,0.743649244,0.030916678,14260.59961,35280,27360,9970,11280,36190,43980,35260,126160,13660,,16150,19800,9020
17/02/2022,0.23903431,0.744596124,0.030959753,14274.40039,33720,27610,9960,11250,35380,42710,34570,125620,13610,,15940,19920,8890
18/02/2022,0.238948628,0.744712532,0.031149736,14348,34870,26750,9970,11240,35900,47300,34980,127330,13530,,15900,19940,9020
19/02/2022,,,,,33670,26520,9970,11280,35090,44790,35110,127330,13730,,16330,20060,9020
20/02/2022,,,,,31470,26370,9970,11360,34800,42660,34750,125900,13170,,15850,19900,9270
21/02/2022,0.23900573,0.742853701,0.031121623,14365.90039,33950,26390,9970,11280,36380,45820,35110,127330,13540,,15900,20180,9020
22/02/2022,0.239406273,0.742610991,0.031000063,14355,33520,27290,9970,11380,39020,48800,35270,128150,13310,,16570,20490,9390
23/02/2022,0.239062876,0.743240178,0.030848963,14395,33160,25760,10110,11400,42420,56780,35910,126950,13550,,16030,21130,9170
24/02/2022,0.23900573,0.742837191,0.030987574,14365,35270,27370,9970,11280,43540,53310,35400,127330,13670,,15200,21240,9020
25/02/2022,0.238180295,0.738001943,0.030772069,14452.5,33810,26060,9970,11280,40500,52420,35400,127980,13670,,15080,21110,9020
26/02/2022,,,,,35180,26010,10110,11400,42540,52370,36060,127700,13620,,15090,21130,9170
27/02/2022,,,,,34960,27590,9960,11210,40690,52790,35180,125620,13620,,15250,21350,8890
28/02/2022,0.238180295,0.735813498,0.030601626,14334.2002,35530,27030,9800,11130,44820,57470,35210,128280,13640,,15300,21410,8710
01/03/2022,0.238322213,0.73784405,0.030629748,14360,35990,27080,9830,11250,43020,54870,34930,129890,13620,,15110,21710,9170
02/03/2022,0.238635018,0.73674053,0.030556742,14425,35920,26440,9970,11280,44110,63460,35520,128520,13610,,14970,21930,9020
03/03/2022,0.238492742,0.738018274,0.03079292,14387.5,34430,27450,9800,11210,41140,62190,35560,128280,13570,,15470,21830,9040
04/03/2022,0.23900573,0.737300038,0.030715361,14358.40039,35710,26930,10110,11370,44780,63250,38260,129890,13700,,15100,22280,9170
05/03/2022,,,,,35740,27130,9970,11280,43550,63970,36400,129900,13740,,15090,22120,9020
06/03/2022,,,,,34410,27890,9960,11250,42770,63150,36020,127060,13700,,15250,22140,8890
07/03/2022,0.239463598,0.734246731,0.030581973,14381.7002,34270,26620,9970,11380,44630,65990,36760,129870,13660,,15290,23810,9390
08/03/2022,0.239549652,0.734306037,0.030295687,14406.40039,34910,27490,9970,11280,45680,64810,36510,129900,13740,,15090,23670,9020
09/03/2022,0.239234462,0.732509494,0.03012774,14362.7002,34550,27490,9970,11280,46980,66310,36400,129900,13740,,14910,23980,9020
10/03/2022,0.238948628,0.736865342,0.030327844,14251,35070,27260,9970,11280,47230,64860,36400,129900,13740,,14890,23850,9020
11/03/2022,0.238891557,0.73634994,0.030191412,14275,32470,27730,9970,11280,48610,65220,36530,129900,13740,,14910,23870,9020
12/03/2022,,,,,32300,27780,9910,11280,47490,66030,36400,129900,13480,,14850,24110,9020
13/03/2022,,,,,30580,27790,9800,11210,44810,61020,35570,128280,13740,,15170,23900,9040
14/03/2022,0.23854962,0.733837247,0.030064337,14325.5,31730,27820,10030,11400,43490,59130,36170,129890,13780,,14700,23770,8890
15/03/2022,0.237953603,0.731984019,0.029943706,14347.5,32290,27580,9970,11390,49490,65120,36540,131620,13830,,14820,23910,8870
16/03/2022,0.237812132,0.732477307,0.02984184,14305.2998,31930,27510,9970,11280,47290,66020,36500,129900,13810,,15020,23740,9020
17/03/2022,0.23866348,0.736236036,0.029992202,14263.5,32730,27950,10110,11400,48740,64150,37190,131380,13780,,17870,24060,9170
18/03/2022,0.238379017,0.738950789,0.030103253,14326,31930,28330,10030,11320,45370,57390,37150,131210,13810,,20520,23800,9020
19/03/2022,,,,,31330,28690,9900,11330,44920,59260,36760,131380,13710,,21150,23920,9170
20/03/2022,,,,,31240,28600,10030,11350,46410,59160,37150,131210,13810,,20970,23930,9020
21/03/2022,0.238606542,0.73737067,0.030021014,14342.2998,32400,28720,10350,11990,43690,56090,38410,132430,13870,,21200,23860,9340
22/03/2022,0.237953603,0.736377001,0.029777857,14345,30080,29050,10100,11090,44150,53830,36740,127220,13740,,21830,23680,9490
23/03/2022,0.237247914,0.736984849,0.029866796,14345.5,31570,29360,10110,11470,44170,54460,37460,129890,13930,,22590,23780,8890
24/03/2022,0.236854568,0.736545146,0.029738894,14389,30830,29690,10030,11280,42090,55800,37670,129900,13940,,22370,23680,9150
25/03/2022,0.236742422,0.73671335,0.029832046,14337.09961,30400,28920,10030,11280,40820,53710,37010,131210,13930,,22630,23680,9150
26/03/2022,,,,,30090,30180,10110,11330,40940,53390,37620,131380,13780,,22190,23780,9330
27/03/2022,,,,,30800,29060,10030,11280,41050,55700,37140,131210,13930,,22630,23680,9150
28/03/2022,0.237642571,0.736160219,0.029730937,14334,30440,29740,9900,11190,41690,51760,36750,131380,13990,,22330,23990,9300
29/03/2022,0.237304211,0.735050857,0.02959981,14373,31100,29470,10030,11280,42120,53320,37280,131210,13940,,22520,24180,9390
30/03/2022,0.237416908,0.737479448,0.029856985,14334,31080,29730,9940,11200,40370,52570,37670,131210,13940,,22640,24550,9390
31/03/2022,0.237953603,0.739355147,0.030012906,14327.5,31690,30240,10000,11220,41720,52950,38500,134100,13780,,22610,24770,9600
01/04/2022,0.237925291,0.738388836,0.030086048,14351,31710,30060,9940,11230,42420,54130,38690,137250,13810,,22770,24610,9390
02/04/2022,,,,,31910,30650,9990,11170,41810,52860,39920,139820,13940,,22520,24810,9270
03/04/2022,,,,,31780,30650,10000,11260,44410,54260,39240,138420,13930,,22190,24780,9470
04/04/2022,0.237642571,0.73713696,0.029868579,14361,31890,30060,9820,11230,45660,55020,39090,137990,14000,,22520,24550,9410
05/04/2022,0.237247914,0.73713696,0.029905202,14322.2998,32450,29730,9880,11230,46000,53650,38960,137340,14000,,22770,24490,9470
06/04/2022,0.237586126,0.735651135,0.029808924,14365.5,32700,29670,9940,11230,41760,51680,38580,136080,13870,,22520,24740,9330
07/04/2022,0.237360567,0.735121191,0.029787615,14382,32670,29660,10000,11230,43340,50700,39230,136080,14120,,22080,24430,9470
08/04/2022,0.237202913,0.734311461,0.029862335,14385,32930,29990,9940,11230,44820,46660,38960,137340,14000,,22410,24170,9470
09/04/2022,,,,,33390,30140,9940,11170,46990,46880,39360,135970,14000,,22290,24240,9960
10/04/2022,,,,,32570,29790,9940,11170,42780,46000,39090,137340,14000,,22410,24370,9860
11/04/2022,0.237022996,0.733492732,0.029812479,14355,34780,29750,10000,11230,42150,41110,38300,137150,14000,,22680,24240,9860
12/04/2022,0.236518443,0.732547045,0.029735355,14360.7002,34820,29000,10000,11290,35770,38950,38440,138530,14120,,22800,24110,9960
13/04/2022,0.23637867,0.73310554,0.029808924,14364.2002,33570,30060,10000,11290,34810,39440,38050,138530,14000,,22740,23740,9960
14/04/2022,0.236462519,0.734613478,0.029890897,14360.2002,32700,29860,10040,11410,33210,36060,38070,138530,14000,,22620,23990,10160
15/04/2022,0.236406624,0.737332582,0.029709736,14383.90039,31870,29510,10000,11410,32910,36000,38210,134540,14000,,22520,23860,10160
16/04/2022,,,,,31290,29620,9880,11370,32870,35960,37620,137910,13920,,22370,23660,10390
17/04/2022,,,,,32380,29970,9930,11340,32340,35980,38070,137760,14000,,22020,23800,10390
18/04/2022,0.236239091,0.736371577,0.029763676,14337,32770,29300,9930,11340,32660,35120,38460,138340,14000,,21190,23550,10190
19/04/2022,0.235183448,0.734645903,0.029688569,14353.7998,32740,29550,9990,11340,31500,35750,38340,135970,14120,,22280,23370,10190
20/04/2022,0.235128164,0.731197238,0.029609453,14364.90039,32630,29160,9970,11340,32020,33800,38980,135970,13990,,22280,23430,10190
21/04/2022,0.233699471,0.733621836,0.02960244,14351,32560,29770,9930,11280,32290,31450,38980,137950,14120,16860,22280,24550,10050
22/04/2022,0.233181775,0.732595325,0.029503746,14382,32270,29530,9930,11340,32570,31610,38970,135970,13930,16100,21410,24810,10080
23/04/2022,,,,,32470,29090,9790,11250,32680,32730,38980,139120,13990,16690,22460,24990,9960
24/04/2022,,,,,33890,29440,10220,11570,32590,31760,39590,137800,13880,17470,22400,24680,9940
25/04/2022,0.231347591,0.730001569,0.029458553,14350,33980,29420,9930,11340,35950,33530,39110,139890,14060,16860,22770,24990,10080
26/04/2022,0.229621127,0.727966249,0.029359091,14478,35200,29510,9930,11340,39100,36850,40280,141030,13790,16400,22710,24930,10320
27/04/2022,0.231347591,0.725789487,0.029209873,14466,36700,29160,9870,11150,40460,38420,39690,146730,14180,17030,22830,25150,10190
28/04/2022,0.229489386,0.724233568,0.029112929,14447.5,36700,28480,9820,11220,43560,33990,40330,148630,14000,17650,23470,25840,10190
29/04/2022,0.229278922,0.72124052,0.029041065,14502,39000,30800,10660,11740,46770,36750,42430,154770,13730,15880,22990,26070,9720
30/04/2022,,,,,40430,31440,10070,11230,49670,41270,41930,152690,14100,17180,23790,26670,9770
01/05/2022,,,,,43560,33100,9950,11460,60310,46060,42210,167440,13740,19070,22980,27330,9490
02/05/2022,0.229832232,0.7227,0.029249175,14490,37420,32400,11250,12250,56130,50000,42430,164920,13750,14970,22980,25990,10390
03/05/2022,0.229779392,0.721688151,0.029017467,14522.59961,41600,31580,10290,11450,51920,47180,39790,152350,13830,15530,23310,26640,10590
04/05/2022,0.229779392,0.722626925,0.029140076,14491,40350,30520,10100,11150,45220,42490,40540,147810,13900,15910,23580,25560,10130
05/05/2022,0.229779392,0.727674901,0.029368576,14425,37220,28980,10140,11330,41030,44090,43000,139760,13870,15880,23240,26200,10190
06/05/2022,0.23001726,0.722543359,0.02915452,14458.7002,36150,29040,10290,11450,38060,51490,38660,141530,13830,17440,23310,25650,10260
07/05/2022,,,,,37420,30120,10140,11330,38690,46190,38660,146590,13870,16110,23240,26280,10440
08/05/2022,,,,,34380,28360,9900,11050,31730,38190,38400,144570,13900,17660,23580,26570,10350
09/05/2022,0.228963941,0.720705152,0.029102761,14490,39310,28860,9980,11320,33000,37450,38870,141090,13780,16730,23120,27270,9950
10/05/2022,0.228258386,0.719553888,0.028910089,14552.2002,40790,28630,9830,11390,33880,33130,40100,146480,13920,16510,23150,26810,10610
11/05/2022,0.228336573,0.718809068,0.028861696,14520.7998,38590,29330,9830,11220,38330,34600,39820,143500,13810,16500,23340,26340,10180
12/05/2022,0.228623688,0.719305456,0.028879199,14543.40039,39490,29280,9800,11220,38640,34880,39030,143500,13810,16500,23340,26220,10180
13/05/2022,0.227738574,0.716435015,0.028792722,14632.09961,41180,28980,9790,11220,37290,33860,38770,142340,13810,16370,23340,26360,10180
14/05/2022,,,,,39560,27180,9640,11330,35070,34220,39340,142440,14000,17480,22690,26480,9970
15/05/2022,,,,,41820,28540,9710,11180,33580,34270,37570,139800,13930,16330,23220,26270,10360
16/05/2022,0.227505401,0.718055487,0.028860863,14606,39750,29900,10060,11570,40810,34620,37530,140920,13900,15910,22350,25560,9960
17/05/2022,0.227505401,0.719026148,0.028820103,14645,40460,28560,9740,11120,35670,34580,36800,139230,13540,16910,22580,25470,10010
18/05/2022,0.228180259,0.722298086,0.029004002,14630.59961,44580,28240,9690,11150,38300,40590,37970,139680,14140,16330,22730,26560,10360
19/05/2022,0.227608979,0.718741894,0.028924303,14740,43580,28830,9850,11250,40100,45110,37540,136850,13780,16480,22320,26560,9950
20/05/2022,0.227272719,0.72415489,0.029089218,14626.7998,44840,29470,9760,11190,41470,47540,37210,138430,13810,16300,22770,26860,10180
21/05/2022,,,,,44480,29210,9760,11190,42520,47740,37840,139550,13810,16170,22640,26860,10180
22/05/2022,,,,,41020,28630,9690,11170,41020,45940,35620,141130,13920,15910,22860,26650,10420
23/05/2022,0.227972195,0.724637687,0.02913668,14645,45260,28650,10050,11370,44420,50700,37100,141280,13780,15790,22520,26850,10360
24/05/2022,0.227946207,0.727659047,0.029295446,14619.2002,45150,28670,9790,11190,44330,52760,36770,138430,13930,15920,22520,26740,10180
25/05/2022,0.227634862,0.729410529,0.029330673,14635.7998,46060,28670,9790,11130,45270,56180,36120,139550,13810,15990,22520,26860,10070
26/05/2022,0.227634862,0.727643192,0.029205605,14597,45500,28470,9850,11190,49530,59840,35990,139550,13810,15870,22400,26860,10180
27/05/2022,0.227505401,0.728623986,0.02922524,14584.2002,45510,28070,9760,11190,55150,62450,35180,138430,13810,15490,22270,27230,10180
28/05/2022,,,,,46290,26760,9780,11350,55560,65740,36190,143260,13920,15750,22120,27500,10460
29/05/2022,,,,,44940,27490,9660,11150,52190,56610,35490,139680,13930,15420,22310,27270,10230
30/05/2022,0.22849308,0.731047571,0.029345306,14570,45540,28990,9920,11440,57090,66000,36870,141280,13930,15240,22100,27560,10230
31/05/2022,0.229158074,0.731742978,0.029335836,14538.40039,45080,29530,9790,11270,56320,66600,36770,138430,14000,15710,22270,27740,10070
01/06/2022,0.228519201,0.730006933,0.029212434,14543.90039,44150,29050,9790,11180,57650,67760,37170,138430,14000,15650,22270,27740,10070
02/06/2022,0.228284448,0.727484345,0.029101068,14531.5,44550,29470,9790,11180,56640,70780,36560,138430,14000,15650,22400,27740,10180
03/06/2022,0.227842331,0.729927003,0.029208167,14426.7998,44690,27970,9850,11250,59000,75550,38320,139720,13870,15520,22330,27730,10070
04/06/2022,,,,,45160,26630,9940,11470,61610,74610,38660,140650,13850,15200,22100,28350,10230
05/06/2022,,,,,46210,27030,9760,11250,61760,76540,38070,139910,13870,15420,22270,28120,9950
06/06/2022,0.227868274,0.72725153,0.029120559,14431,48700,26900,9760,11250,69460,86110,38840,141790,13870,15180,22270,28490,9950
07/06/2022,0.227842331,0.726242781,0.029044438,14435.2002,49180,25910,9600,11140,73910,92030,38970,142050,14000,14980,22660,28710,9810
08/06/2022,0.227634862,0.727802038,0.0290647,14458.7998,48720,26900,9820,11250,72040,91080,39090,139280,14000,15040,22570,28800,9950
09/06/2022,0.227712631,0.726659656,0.028994754,14495.2998,55060,26490,9920,11540,77240,97070,39710,138420,14000,14980,22100,29060,10170
10/06/2022,0.227738574,0.723316848,0.028940208,14611.7998,,,,,,,,,,,,,
11/06/2022,,,,,,,,,,,,,,,,,
12/06/2022,,,,,,,,,,,,,,,,,
13/06/2022,0.227298558,0.718809068,0.028734807,14546,,,,,,,,,,,,,
14/06/2022,0.226449281,0.717442513,0.028700171,14795,,,,,,,,,,,,,
15/06/2022,0.226244345,0.718339205,0.028546961,14740.7998,,,,,,,,,,,,,
16/06/2022,0.226705968,0.721656919,0.028705938,14681,,,,,,,,,,,,,
17/06/2022,0.227272719,0.723118067,0.028566532,14776.09961,,,,,,,,,,,,,
18/06/2022,,,,,,,,,,,,,,,,,
19/06/2022,,,,,,,,,,,,,,,,,
20/06/2022,0.227298558,0.720248342,0.028392151,14816,,,,,,,,,,,,,
21/06/2022,0.227324381,0.720668793,0.028304556,14827.7002,,,,,,,,,,,,,
22/06/2022,0.227479532,0.721755922,0.028340654,14831.7002,,,,,,,,,,,,,
23/06/2022,0.227117881,0.720918179,0.028288545,14843,,,,,,,,,,,,,
24/06/2022,0.227066308,0.719859481,0.028181715,14841.7998,,,,,,,,,,,,,
25/06/2022,,,,,,,,,,,,,,,,,
26/06/2022,,,,,,,,,,,,,,,,,
27/06/2022,0.227298558,0.721750677,0.028208744,14841,,,,,,,,,,,,,
28/06/2022,0.227195263,0.721834064,0.028281342,14791,,,,,,,,,,,,,
29/06/2022,0.227557182,0.720736325,0.028441411,14857,,,,,,,,,,,,,
30/06/2022,0.227412283,0.718060672,0.028507898,14877,,,,,,,,,,,,,
01/07/2022,0.22701475,0.719352007,0.028309364,14921.90039,,,,,,,,,,,,,
02/07/2022,,,,,,,,,,,,,,,,,
03/07/2022,,,,,,,,,,,,,,,,,
04/07/2022,0.227040529,0.716743112,0.028105676,14931,,,,,,,,,,,,,
05/07/2022,0.226731658,0.716527402,0.028008852,15008,,,,,,,,,,,,,
06/07/2022,0.226398021,0.7118451,0.027802492,15037,,,,,,,,,,,,,
07/07/2022,0.226142019,0.712047875,0.027658693,15010,,,,,,,,,,,,,
08/07/2022,0.225963175,0.71416837,0.027723102,14964.59961,,,,,,,,,,,,,
09/07/2022,,,,,,,,,,,,,,,,,
10/07/2022,,,,,,,,,,,,,,,,,
11/07/2022,0.226014242,0.714878082,0.027886223,14970,,,,,,,,,,,,,
12/07/2022,0.226014242,0.711758971,0.027599912,14989.09961,,,,,,,,,,,,,
13/07/2022,0.225504562,0.710439205,0.027627362,15010,,,,,,,,,,,,,
14/07/2022,0.225504562,0.710727036,0.027599912,15030.40039,68970,23130,9560,11080,111340,113710,38950,141950,14000,12560,19940,28200,10370
15/07/2022,0.225149155,0.712961614,0.027374761,15037.09961,68620,23440,9890,11270,97940,100330,39090,140000,13940,12900,20130,28000,10350
16/07/2022,,,,,66560,22560,9540,11120,92820,97730,36220,140000,13920,12210,19400,27990,10310
17/07/2022,,,,,65540,24540,9690,11280,94470,97920,37440,140000,13920,12210,19710,27830,10470
18/07/2022,0.224895999,0.715415061,0.027352296,14986,60330,23370,9740,11240,89960,89920,37500,139270,13930,12530,19480,27990,10400
19/07/2022,0.22469385,0.715870798,0.027255384,14977,56510,23220,9840,11270,92140,87480,37800,140000,13940,12810,19660,28000,10350
20/07/2022,0.224845409,0.718710959,0.027342573,14960.7998,53810,23850,9800,11270,86500,85120,37180,138710,13940,12830,19170,28000,10350
21/07/2022,0.22474435,0.717885435,0.027273966,15022,49060,24170,9800,11270,83530,82260,37820,140000,13940,12950,19210,28000,10350
22/07/2022,0.224492073,0.719735146,0.027209405,15004.2002,46550,24170,9810,11270,83020,81310,37440,140000,13940,12830,18480,28000,10350
23/07/2022,,,,,47020,23480,9830,11460,85710,82000,37440,140000,13920,12400,17820,27990,10470
24/07/2022,,,,,50360,23650,9700,11460,84880,81320,37950,140000,13690,12550,18780,27800,10370
25/07/2022,0.22474435,0.719942391,0.027293321,15011,42120,23110,9710,11240,78080,81780,37230,140000,13930,12490,18030,28270,10400
26/07/2022,0.224668607,0.721485138,0.027280664,14978,45100,22620,9800,11270,79200,79100,37560,138710,13940,12710,18020,28240,10350
27/07/2022,0.224542499,0.719942391,0.027249441,14982.7998,40510,22630,9800,11270,76140,74790,37560,139370,14000,12710,17890,27930,10350
28/07/2022,0.224416524,0.723746061,0.027294811,14914.2002,39260,23560,9800,11270,74490,72730,37560,139370,13810,12710,18130,28000,10350
29/07/2022,0.224719107,0.72511059,0.027483854,14849.09961,36720,22760,9710,11240,75160,73130,36790,140000,13930,12410,17870,27780,10400
30/07/2022,,,,,38710,23560,9810,11270,74490,72140,37180,138730,13940,12710,18340,27810,10350
31/07/2022,,,,,34540,23870,9660,11280,74830,71090,36280,139150,13920,12150,18210,27830,10470
01/08/2022,0.224820152,0.723850906,0.027553523,14826,35500,23560,9800,11270,72330,71050,36800,138710,13940,12760,18240,27620,10470
02/08/2022,0.224719107,0.726638615,0.027698528,14838,35190,23680,9860,11270,70480,68670,36530,137400,13940,12660,18340,27370,10350
03/08/2022,0.224567696,0.7227,0.027622022,14890.09961,34760,20650,9390,11320,73190,68290,36240,140000,13830,12060,17150,27650,10630
04/08/2022,0.22446689,0.724223077,0.027593818,14900,37600,23480,9800,11270,70810,68440,36530,138710,13940,12730,17040,27620,10350
05/08/2022,0.224416524,0.727087677,0.027917365,14884.7002,35280,24170,9710,11240,71300,68430,37190,140000,13860,12510,17020,27420,10800
06/08/2022,,,,,35390,23520,9860,11140,72890,69930,36150,140000,14000,12390,18350,27400,10570
07/08/2022,,,,,36170,22610,9970,11470,72350,69740,36900,140000,13930,12560,17430,27560,10660
08/08/2022,0.224542499,0.72352618,0.027972028,14886,37020,22780,9800,11270,68940,63890,36400,138710,13810,12470,17690,27110,10350
09/08/2022,0.224391341,0.725557745,0.028145229,14831.2002,35710,23370,9840,11270,68770,63020,36380,140000,13810,12610,17120,27100,10350
10/08/2022,0.224567696,0.725531459,0.028304556,14856.7002,35990,23370,9900,11220,68470,65990,36520,138710,13940,12550,17240,27610,10350
11/08/2022,0.22446689,0.730566919,0.028312571,14756.90039,35760,23280,9750,11110,70250,65530,36440,137070,13780,12490,16700,27410,10260
12/08/2022,0.225073159,0.73014015,0.02840909,14724.2002,35910,23150,9840,11220,70510,61700,35840,138080,13810,12610,16720,28370,10350
13/08/2022,,,,,35690,24290,9820,11250,69190,60940,35440,136360,13930,13230,16980,28270,10400
14/08/2022,,,,,35660,23260,9900,11220,69350,63030,35990,136810,13810,12610,16160,28240,10350
15/08/2022,0.225133955,0.729607463,0.028328612,14661,35980,23710,9840,11220,69860,57410,35980,138080,13810,12610,16570,28860,10590
16/08/2022,0.224366173,0.72562623,0.028138101,14776.40039,34240,23560,9840,11220,67940,56650,36390,137430,13940,12540,16720,29220,10590
